,age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
80,1,2,9,13,4,3,1,4,0,0,0,1,38,0
81,1,0,5,4,4,7,1,2,1,0,0,1,38,0
82,0,2,12,14,2,9,5,4,0,4,0,0,38,1
83,1,0,9,13,0,0,1,4,1,0,0,2,38,0
84,0,2,12,14,4,7,1,0,1,0,0,2,38,0
85,0,2,11,9,4,5,3,4,1,0,0,2,38,0
86,0,2,9,13,4,3,3,4,0,0,0,2,38,0
87,1,2,0,6,2,4,0,4,1,0,0,2,38,0
88,1,2,11,9,2,13,0,4,1,0,0,2,38,1
89,0,2,11,9,4,0,1,4,0,0,0,2,38,0
90,0,2,15,10,4,0,4,2,0,0,0,1,38,0
91,0,2,15,10,4,13,3,2,1,0,0,1,38,0
92,1,4,6,5,6,7,1,4,0,0,0,2,38,0
93,1,1,11,9,6,0,4,4,0,0,0,1,38,0
94,0,2,0,6,5,6,1,4,0,0,0,2,38,0
95,1,1,11,9,2,10,0,4,1,0,0,2,38,0
96,0,2,11,9,4,13,3,4,1,4,0,2,38,0
97,0,2,15,10,4,5,3,2,1,0,0,0,38,0
98,0,2,11,9,4,7,1,4,0,0,0,1,38,0
99,0,2,11,9,4,6,3,4,0,0,0,2,38,0
100,0,2,15,10,2,2,0,4,1,0,0,2,38,0
101,0,2,8,11,2,3,0,4,1,0,0,2,38,1
102,1,2,15,10,2,5,0,4,1,0,0,2,38,0
103,0,2,11,9,4,5,4,4,1,0,0,2,38,0
104,1,2,11,9,2,2,0,4,1,0,0,2,38,0
105,0,2,1,7,4,7,1,4,0,0,0,1,38,0
106,1,2,11,9,3,0,4,4,0,0,0,2,38,0
107,1,2,9,13,0,11,4,4,0,0,0,2,38,1
108,0,1,9,13,0,9,4,4,0,0,0,3,38,0
109,0,2,15,10,4,11,3,4,0,0,0,1,38,0
110,0,2,15,10,4,10,3,4,1,0,0,1,38,0
111,1,2,15,10,0,12,1,4,0,0,0,2,38,0
112,1,2,11,9,0,5,4,4,0,0,0,2,38,0
113,2,2,11,9,0,0,1,4,0,0,0,1,38,0
114,1,0,10,16,2,9,5,4,0,0,0,2,38,1
115,0,2,11,9,4,9,3,4,1,0,0,2,38,0
116,0,4,11,9,2,2,0,4,1,0,0,3,20,1
117,1,2,12,14,2,9,0,4,1,0,3,2,38,1
118,1,2,15,10,2,0,0,4,1,0,0,2,38,0
119,0,2,11,9,4,2,4,2,0,0,0,2,38,0
120,1,3,10,16,2,9,0,4,1,0,0,2,38,1
121,1,2,11,9,2,2,0,2,1,0,0,2,38,0
122,0,2,7,12,4,9,1,4,0,0,0,2,38,0
123,0,2,11,9,2,11,0,4,1,0,0,3,38,1
124,1,2,5,4,2,6,0,2,1,0,0,2,38,0
125,0,2,11,9,2,6,5,4,0,0,0,1,38,0
126,0,2,0,6,2,4,0,4,1,0,0,2,38,0
127,1,2,12,14,2,9,0,4,1,0,0,2,38,0
128,0,2,15,10,4,0,3,1,0,0,0,1,10,0
129,1,2,11,9,2,3,0,4,1,4,0,2,38,1
130,1,3,11,9,2,3,0,4,1,0,3,2,38,1
131,0,2,12,14,4,9,3,4,0,0,0,1,38,0
132,1,4,11,9,6,3,1,4,0,0,0,1,38,0
133,1,2,8,11,6,3,4,4,0,0,0,1,38,0
134,0,2,11,9,2,11,0,4,1,0,0,2,38,1
135,1,2,9,13,2,3,0,4,1,4,0,2,38,1
136,0,2,11,9,4,11,1,4,1,4,0,1,38,0
137,0,2,15,10,4,7,1,2,1,0,0,0,38,0
138,0,2,1,7,2,7,5,2,0,0,0,1,38,0
139,1,2,5,4,2,6,0,4,1,0,0,1,38,0
140,0,2,1,7,4,2,4,4,1,0,0,2,38,0
141,1,5,9,13,2,0,0,4,1,0,3,2,38,1
142,0,2,15,10,4,0,3,4,0,0,0,2,38,0
143,0,1,11,9,4,2,1,4,1,0,0,2,38,0
144,0,2,9,13,4,11,1,4,1,0,0,1,38,0
145,1,2,15,10,4,5,4,2,0,0,3,2,38,0
146,0,3,9,13,0,3,1,4,1,0,0,2,38,0
147,1,2,1,7,2,7,0,4,1,0,0,1,38,0
148,0,2,11,9,2,11,0,4,1,0,0,2,38,0
149,0,2,11,9,2,2,0,4,1,0,0,2,38,0
150,0,2,9,13,4,11,3,4,1,0,0,2,38,0
151,1,5,12,14,2,3,0,4,1,0,0,2,38,1
152,0,2,15,10,2,3,0,4,1,0,0,2,38,1
153,1,4,10,16,2,9,0,4,1,0,0,0,38,1
154,1,2,11,9,2,2,0,4,1,0,0,2,38,0
155,0,2,11,9,4,5,4,4,1,0,0,1,38,0
156,1,1,11,9,0,3,1,4,1,0,0,1,38,0
157,1,2,11,9,2,9,0,4,1,0,3,2,38,1
158,0,2,12,14,4,9,1,4,1,0,0,2,38,0
159,0,2,9,13,4,0,1,4,0,0,0,2,38,0
160,2,2,2,8,2,3,0,4,1,0,0,3,38,0
161,1,1,12,14,5,0,4,2,0,0,0,2,38,0
162,0,2,15,10,2,3,0,4,1,0,0,2,38,1
163,0,2,8,11,2,6,0,4,1,0,0,2,38,0
164,1,2,15,10,2,6,0,4,1,0,0,1,38,0
165,0,3,11,9,2,11,0,4,1,0,0,2,38,1
166,0,2,15,10,2,6,0,4,1,0,3,2,38,1
167,0,2,12,14,4,3,3,4,1,4,0,2,38,0
168,1,3,15,10,2,3,0,4,1,4,0,2,38,1
169,0,2,9,13,6,3,1,4,0,0,0,2,38,0
170,1,2,11,9,0,11,4,2,0,0,0,2,38,0
171,1,2,11,9,0,5,1,4,1,0,0,2,38,0
172,0,2,11,9,4,6,1,4,1,0,0,2,38,0
173,0,2,11,9,4,7,1,4,0,0,0,2,38,0
174,0,2,9,13,2,3,0,4,1,0,3,2,38,1
175,0,2,9,13,5,9,1,4,1,0,0,2,38,1
176,1,2,15,10,0,0,1,2,0,0,0,1,38,0
177,0,2,11,9,4,9,4,2,0,0,0,2,38,0
178,0,2,15,10,0,3,4,4,0,0,0,2,38,0
179,1,2,15,10,4,13,1,4,1,0,0,2,38,0
180,1,3,14,15,2,9,5,4,0,0,0,2,38,1
181,0,2,11,9,4,6,1,4,0,0,0,2,38,0
182,0,2,11,9,2,5,0,4,1,0,0,2,38,1
183,1,1,15,10,2,10,0,4,1,0,0,2,38,1
184,0,3,9,13,2,3,0,4,1,0,0,2,38,0
185,1,2,9,13,0,2,1,4,1,0,0,2,38,0
186,1,1,9,13,0,9,4,4,0,0,0,2,38,0
187,1,2,8,11,2,9,0,4,1,0,0,2,38,1
188,0,3,9,13,2,11,0,4,1,0,0,2,38,0
189,1,2,5,4,2,2,0,2,1,0,0,2,38,0
190,2,1,11,9,2,3,0,4,1,0,0,1,38,0
191,0,2,9,13,2,9,5,4,0,0,0,2,38,1
192,0,2,15,10,2,11,0,4,1,0,0,2,38,1
193,0,2,1,7,4,11,1,4,1,0,0,0,38,0
194,0,2,15,10,4,7,3,4,0,0,0,2,38,0
195,0,0,8,11,0,2,4,4,0,4,0,2,38,0
196,0,2,9,13,2,13,0,4,1,0,0,2,38,0
197,0,2,9,13,4,12,3,2,0,0,0,1,38,0
198,1,2,11,9,2,6,0,4,1,0,0,2,38,0
199,0,0,11,9,4,7,1,4,1,0,0,1,38,0
200,0,2,4,3,4,6,2,4,1,0,0,1,25,0
201,0,2,8,11,5,2,1,4,1,0,0,2,38,0
202,0,2,9,13,4,3,1,4,0,0,0,2,38,0
203,0,2,9,13,2,0,0,1,1,0,0,2,29,0
204,0,2,11,9,4,6,1,1,0,0,0,2,29,0
205,0,2,11,9,4,2,4,4,1,0,0,2,38,0
206,1,3,11,9,2,11,0,4,1,0,0,2,38,1
207,2,1,6,5,2,13,0,4,1,4,0,2,38,1
208,1,2,15,10,2,2,0,4,1,0,0,2,38,0
209,1,2,9,13,2,9,0,4,1,4,0,1,38,1
210,1,1,11,9,2,3,0,4,1,0,0,2,38,0
211,0,2,2,8,4,8,3,4,1,0,0,2,38,0
212,0,2,14,15,2,9,0,4,1,0,0,2,38,0
213,1,2,12,14,4,3,4,1,0,0,0,2,36,0
214,0,2,11,9,2,12,0,4,1,0,0,2,38,1
215,3,4,11,9,2,7,0,4,1,0,0,1,38,0
216,0,2,8,11,0,12,4,4,0,0,0,3,38,0
217,1,2,15,10,2,12,0,4,1,4,0,2,38,0
218,1,2,11,9,4,7,4,2,0,0,0,1,13,0
219,0,2,15,10,4,11,1,4,0,0,0,2,38,0
220,0,2,11,9,2,13,0,4,1,0,0,2,38,0
221,0,1,11,9,4,7,3,4,0,0,0,1,38,0
222,1,4,11,9,2,2,0,4,1,0,3,3,38,0
223,0,2,15,10,4,7,3,4,0,0,0,0,38,0
224,2,4,15,10,2,13,0,4,1,0,0,1,38,0
225,0,0,15,10,4,0,3,4,0,0,0,1,38,0
226,0,2,11,9,2,5,0,4,1,0,0,2,38,0
227,0,2,11,9,2,11,3,4,0,0,0,2,38,0
228,1,2,11,9,2,13,0,4,1,0,0,3,38,1
229,1,5,11,9,2,6,0,4,1,0,0,2,38,0
230,0,2,15,10,4,11,3,4,1,0,0,0,38,0
231,0,2,8,11,4,2,1,4,1,0,0,2,38,0
232,0,2,9,13,2,9,0,4,1,0,0,2,38,1
233,0,2,9,13,4,12,3,4,1,0,0,2,38,0
234,0,2,15,10,4,6,2,4,1,0,0,1,38,0
235,2,0,15,10,0,12,1,2,1,4,0,2,38,0
236,0,2,11,9,4,7,1,2,0,0,0,2,38,0
237,0,5,11,9,4,7,1,4,1,0,0,2,38,0
238,2,4,14,15,4,9,1,4,1,0,3,1,38,0
239,1,2,15,10,2,3,5,4,0,0,0,2,38,0
240,0,1,12,14,4,9,1,4,1,0,0,2,38,0
241,0,2,15,10,4,9,1,4,0,0,0,2,38,0
242,0,2,9,13,4,0,3,4,0,0,0,2,38,0
243,0,2,12,14,4,3,1,4,0,0,0,2,38,0
244,0,2,15,10,2,5,0,4,1,4,0,2,38,1
245,0,2,0,6,2,2,0,4,1,0,0,1,38,0
246,0,2,1,7,2,11,5,4,0,0,0,1,38,0
247,0,2,11,9,2,3,0,4,1,0,0,3,38,0
248,1,2,0,6,2,13,0,4,1,0,0,2,38,1
249,2,2,15,10,2,3,5,4,0,0,0,2,38,1
250,1,5,12,14,4,3,1,4,1,0,0,1,38,0
251,0,2,11,9,4,7,3,0,0,0,0,1,38,0
252,1,2,11,9,0,7,1,2,1,0,0,2,38,0
253,0,2,1,7,4,5,3,4,1,0,0,1,38,0
254,1,3,9,13,2,2,0,4,1,4,0,2,38,1
255,0,2,15,10,4,10,1,2,1,0,0,3,38,0
256,0,0,11,9,2,2,0,4,1,0,0,2,38,1
257,0,2,11,9,2,5,0,4,1,0,0,1,38,1
258,0,2,11,9,4,5,1,4,0,0,0,1,38,0
259,0,2,15,10,0,12,4,4,0,0,0,2,38,0
260,0,2,9,13,2,11,0,2,1,0,0,2,38,0
261,1,2,15,10,4,6,1,4,0,0,0,2,38,0
262,0,2,11,9,4,6,3,2,1,0,0,2,38,0
263,1,2,15,10,2,10,0,4,1,0,0,2,38,1
264,2,0,15,10,2,13,0,2,1,0,0,2,38,0
265,0,2,11,9,4,3,1,2,1,0,0,2,38,0
266,1,2,11,9,2,3,0,4,1,0,0,2,38,1
267,2,2,0,6,2,5,0,4,1,0,0,2,38,0
268,0,2,15,10,2,11,0,4,1,0,0,2,38,0
269,1,2,0,6,0,0,4,4,0,0,0,2,38,0
270,0,2,15,10,2,7,0,4,1,0,0,2,38,0
271,0,2,11,9,4,6,4,4,1,0,3,2,38,0
272,0,2,6,5,2,7,0,4,1,0,0,1,7,1
273,0,2,11,9,4,11,3,4,1,0,0,2,38,0
274,0,4,8,11,4,4,1,4,1,4,0,3,38,1
275,0,2,11,9,2,6,2,4,1,0,3,2,38,0
276,0,2,15,10,2,2,0,4,1,0,0,2,38,1
277,0,2,1,7,4,5,2,4,1,0,3,1,32,0
278,0,1,15,10,0,0,4,4,0,0,0,1,38,0
279,0,2,11,9,0,3,3,4,0,0,0,2,38,0
280,0,2,15,10,4,5,3,4,1,0,0,0,38,0
281,0,2,11,9,2,0,3,4,0,0,0,2,38,0
282,0,2,9,13,4,0,3,4,1,0,0,2,38,0
283,1,3,9,13,2,3,0,4,1,0,0,3,38,1
284,1,4,11,9,2,11,0,1,1,4,0,4,39,0
285,1,1,7,12,2,12,0,4,1,0,0,2,38,1
286,0,2,15,10,4,5,3,4,1,0,0,2,38,0
287,1,4,15,10,2,4,0,4,1,0,0,3,38,0
288,1,2,9,13,0,3,4,4,0,4,0,2,38,1
289,0,2,11,9,2,0,5,4,0,4,0,1,38,0
290,1,2,15,10,0,2,1,4,1,0,0,2,38,1
291,0,2,15,10,4,11,1,4,0,0,0,1,38,0
292,0,2,9,13,2,3,0,4,1,0,0,2,38,1
293,2,2,11,9,2,6,0,2,1,0,0,2,38,1
294,0,2,15,10,0,10,1,4,1,0,0,2,38,0
295,1,3,9,13,2,3,0,4,1,0,0,2,38,0
296,0,2,11,9,2,2,0,4,1,0,0,2,38,0
297,1,2,3,2,2,6,0,4,1,0,0,2,25,0
298,0,2,11,9,5,5,3,4,1,0,0,2,32,0
299,0,2,12,14,2,9,0,4,1,0,0,2,38,0
300,1,1,12,14,0,9,4,4,0,0,0,2,38,0
301,0,2,1,7,4,7,3,4,1,0,0,0,38,0
302,1,4,15,10,2,4,0,4,1,0,0,3,38,1
303,0,2,11,9,4,5,3,4,1,0,0,1,38,0
304,1,2,11,9,2,2,0,4,1,0,0,2,38,1
305,1,2,11,9,0,0,4,4,0,4,0,2,38,0
306,0,2,12,14,2,3,0,4,1,0,3,2,38,1
307,0,2,11,9,4,11,4,4,0,0,0,2,38,0
308,1,2,6,5,0,7,4,4,0,0,0,2,5,0
309,1,2,0,6,6,7,4,4,0,0,0,2,38,0
310,0,3,11,9,2,4,0,4,1,0,0,4,38,0
311,1,2,9,13,0,3,4,4,0,0,0,2,38,0
312,0,2,11,9,2,13,0,4,1,0,0,2,38,1
313,0,2,9,13,4,2,1,4,1,4,0,2,38,0
314,0,2,4,3,2,7,0,4,1,0,0,2,25,0
315,0,2,12,14,2,9,0,4,1,0,0,2,38,1
316,2,2,11,9,2,3,0,4,1,4,0,2,38,1
317,0,2,9,13,4,9,1,4,0,0,0,2,38,1
318,0,2,11,9,0,3,4,2,0,4,0,2,38,1
319,1,2,5,4,2,2,0,4,1,4,0,2,38,1
320,0,2,11,9,4,7,3,4,0,0,0,2,38,0
321,0,2,8,11,0,2,4,4,1,0,0,2,38,0
322,0,2,11,9,4,5,3,4,1,0,0,1,38,0
323,0,1,11,9,0,0,4,4,0,0,0,2,38,0
324,0,2,15,10,2,7,5,4,0,0,0,0,38,1
325,0,2,11,9,2,13,0,4,1,0,0,4,38,1
326,0,2,9,13,2,9,0,2,1,0,0,2,38,1
327,0,2,9,13,4,11,1,4,1,0,0,2,38,0
328,1,4,14,15,2,9,0,4,1,4,0,4,38,1
329,0,0,7,12,4,10,1,2,1,0,0,2,38,0
330,0,2,9,13,4,0,3,2,0,0,0,2,38,0
331,0,2,1,7,2,2,0,4,1,0,0,2,38,0
332,1,2,15,10,0,2,1,4,1,0,0,3,38,0
333,1,2,15,10,0,5,2,4,1,0,0,1,38,0
334,0,1,15,10,2,3,3,4,0,0,0,2,38,0
335,1,2,11,9,2,2,0,4,1,0,0,2,38,1
336,1,3,14,15,2,9,0,4,1,0,0,1,38,1
337,1,2,15,10,2,11,0,4,1,0,0,3,38,0
338,1,4,15,10,2,11,0,4,1,0,0,3,38,1
339,0,4,12,14,2,9,5,4,0,0,0,0,38,0
340,0,2,0,6,0,7,4,4,0,0,0,2,10,0
341,0,2,15,10,2,11,0,4,1,0,0,3,38,0
342,1,2,5,4,5,2,1,4,1,0,0,2,25,0
343,0,2,11,9,2,2,0,4,1,0,0,2,38,0
344,1,4,9,13,2,11,0,4,1,0,0,2,38,0
345,0,4,11,9,4,2,3,4,1,0,0,2,38,0
346,1,2,11,9,2,3,0,4,1,0,0,2,38,1
347,0,2,9,13,2,9,5,1,0,0,3,2,38,0
348,0,2,11,9,4,3,3,1,0,0,0,2,34,0
349,0,2,11,9,4,2,2,4,1,0,0,0,38,0
350,1,4,11,9,2,3,0,2,1,0,0,2,38,1
351,0,2,9,13,0,12,1,4,0,0,0,2,38,0
352,1,4,10,16,1,3,5,4,0,0,3,1,38,1
353,1,2,11,9,6,0,4,2,0,0,0,1,38,0
354,0,2,1,7,2,13,0,4,1,0,0,4,38,1
355,1,2,1,7,2,7,0,4,1,0,0,1,3,0
356,1,2,11,9,0,0,4,2,0,0,0,1,38,0
357,1,2,1,7,6,0,4,4,0,0,0,2,38,0
358,2,4,11,9,2,0,5,4,0,0,0,2,38,0
359,1,2,11,9,2,3,0,4,1,0,3,2,38,1
360,1,2,9,13,0,9,2,4,0,0,0,2,38,1
361,0,2,11,9,4,13,3,2,1,0,0,2,38,0
362,1,1,12,14,4,9,1,4,0,0,0,2,38,0
363,0,2,11,9,4,2,4,4,0,0,0,2,38,0
364,0,2,11,9,5,6,3,1,1,0,0,3,38,0
365,1,2,9,13,2,3,0,1,1,0,0,2,23,1
366,0,2,12,14,2,3,0,1,1,0,0,2,18,0
367,1,2,9,13,2,3,0,4,1,0,0,2,38,0
368,1,2,9,13,4,11,1,4,0,0,0,2,38,0
369,0,2,7,12,4,12,2,4,0,0,0,1,38,0
370,0,2,1,7,4,11,3,4,0,0,0,1,38,0
371,1,2,11,9,2,6,0,4,1,0,0,3,38,0
372,0,2,11,9,4,13,3,4,1,0,0,2,38,0
373,0,2,9,13,0,0,4,4,0,0,0,2,38,0
374,0,2,11,9,4,6,1,4,1,0,0,2,38,0
375,0,2,15,10,4,3,3,4,0,0,0,2,38,0
376,0,2,9,13,2,9,5,4,0,0,0,1,38,1
377,0,2,1,7,0,13,4,4,0,0,0,2,38,0
378,0,2,11,9,2,0,5,4,0,0,0,2,38,1
379,0,2,11,9,4,5,3,4,1,4,0,3,38,0
380,1,0,0,6,2,0,0,4,1,0,0,2,25,0
381,1,2,0,6,2,13,0,4,1,0,0,2,38,1
382,0,2,11,9,2,5,0,4,1,0,0,1,38,0
383,0,5,15,10,2,9,2,1,1,0,0,2,0,0
384,1,3,14,15,2,9,0,4,1,4,0,2,38,1
385,1,3,9,13,4,3,1,4,1,0,0,2,38,0
386,0,2,11,9,0,2,1,4,0,0,0,2,38,0
387,0,2,15,10,4,12,2,4,1,0,0,2,38,0
388,0,2,9,13,4,11,1,4,1,0,0,2,38,0
389,0,2,8,11,5,0,4,2,0,2,0,2,38,0
390,0,2,11,9,5,0,1,4,1,0,0,2,38,1
391,1,2,11,9,0,7,1,4,0,0,0,2,38,0
392,0,2,15,10,4,0,4,4,0,0,0,2,38,0
393,1,2,1,7,4,7,3,4,0,0,0,2,38,0
394,2,3,11,9,2,13,0,4,1,0,0,2,38,0
395,0,2,11,9,4,7,3,3,1,0,0,1,38,0
396,0,2,15,10,2,0,5,2,0,0,0,2,38,1
397,0,2,11,9,4,3,1,2,0,0,0,1,38,0
398,2,4,12,14,2,9,0,4,1,0,0,2,38,0
399,0,2,9,13,2,2,0,4,1,0,0,2,38,1
400,1,4,11,9,2,3,0,4,1,0,0,3,38,0
401,0,2,9,13,2,3,0,4,1,0,3,2,38,1
402,0,2,11,9,2,0,0,4,1,4,0,2,38,0
403,0,2,9,13,2,11,0,4,1,0,0,2,38,0
404,0,2,9,13,4,11,3,4,0,0,0,2,38,0
405,1,4,11,9,2,3,0,4,1,0,0,3,38,0
406,0,2,15,10,4,11,3,4,0,0,0,1,38,0
407,1,2,10,16,2,9,0,4,1,0,0,2,38,1
408,1,2,15,10,2,3,0,4,1,4,0,2,38,0
409,0,2,9,13,4,9,1,4,1,0,0,2,38,0
410,0,2,9,13,4,0,3,4,1,0,0,2,38,0
411,0,2,15,10,4,0,1,3,1,4,0,2,38,0
412,0,5,11,9,2,13,0,4,1,0,0,2,38,0
413,2,4,11,9,2,4,0,4,1,0,0,2,38,0
414,1,0,12,14,2,9,0,4,1,0,0,2,38,1
415,1,2,11,9,4,0,1,4,1,0,0,2,38,0
416,0,5,9,13,4,3,1,4,0,0,0,2,38,0
417,0,2,15,10,4,6,1,4,1,0,0,2,38,0
418,0,1,15,10,4,10,3,4,1,0,3,1,38,0
419,0,2,9,13,2,9,0,4,1,0,0,3,38,1
420,0,2,11,9,4,0,3,4,0,0,0,1,38,0
421,0,2,15,10,2,6,0,4,1,0,0,2,10,0
422,1,5,11,9,2,7,5,4,0,0,0,1,38,0
423,0,2,11,9,2,2,0,4,1,0,0,2,32,0
424,0,2,9,13,2,11,0,4,1,0,0,3,38,0
425,1,4,5,4,2,2,0,4,1,0,0,1,38,0
426,1,5,11,9,2,7,0,4,1,0,0,2,38,0
427,0,5,1,7,4,10,3,4,1,0,0,2,38,0
428,1,0,12,14,2,3,0,2,1,0,0,2,38,1
429,1,2,11,9,2,6,0,4,1,0,0,2,38,0
430,0,2,8,11,2,7,0,4,1,0,0,2,38,0
431,0,2,11,9,4,5,3,4,1,0,0,2,38,0
432,0,2,11,9,0,11,2,4,1,0,0,2,38,0
433,0,0,12,14,4,9,1,4,1,0,0,2,30,1
434,0,2,15,10,4,7,1,4,1,4,0,2,38,0
435,2,4,15,10,6,4,1,4,0,0,0,3,38,0
436,0,2,5,4,2,7,0,4,1,4,0,2,25,0
437,0,2,15,10,4,6,1,4,1,0,0,2,38,0
438,0,2,15,10,1,11,5,4,0,0,0,1,38,0
439,1,2,15,10,0,11,1,4,0,0,0,1,38,0
440,0,2,9,13,2,0,5,4,0,0,0,1,38,0
441,0,2,9,13,0,5,3,4,1,0,0,2,38,0
442,0,2,15,10,4,11,3,2,1,0,0,0,38,0
443,1,2,9,13,0,3,1,4,1,4,0,2,38,1
444,2,2,11,9,0,3,1,4,0,0,0,1,38,0
445,1,2,11,9,0,2,1,4,1,0,0,2,38,0
446,0,2,11,9,4,13,3,4,1,0,0,2,38,0
447,0,2,7,12,4,7,1,4,1,0,0,1,38,0
448,0,2,9,13,4,9,1,4,1,0,0,1,38,0
449,0,2,15,10,2,2,0,4,1,0,0,2,38,0
450,0,2,8,11,4,6,3,4,1,0,0,2,38,0
451,0,2,9,13,4,5,1,4,1,0,0,1,38,0
452,0,2,1,7,2,11,0,4,1,0,0,3,38,0
453,0,2,11,9,2,5,0,0,1,0,0,2,38,0
454,0,5,6,5,2,2,0,2,1,0,0,2,38,0
455,1,2,15,10,2,3,0,4,1,0,0,1,38,0
456,0,2,15,10,4,6,3,4,1,0,0,2,38,0
457,0,2,11,9,4,3,1,4,1,0,0,3,38,0
458,0,2,4,3,4,6,2,1,1,0,0,2,24,0
459,2,5,14,15,0,9,1,4,0,0,0,1,38,0
460,0,4,15,10,2,2,0,4,1,0,0,2,38,1
461,0,2,6,5,2,2,0,4,1,4,0,2,25,0
