,StatusExistingAcc,DurationMonth_x,CreditHistory,Purpose,CreditAmount_x,SavingsAccount,EmploymentLength,InstallmentRate,MarriedNSex,Debtors,ResidenceLength,Property,Age,InstallmentPlans,Housing,ExistingCredit,Job,NumPeopleLiable,Telephone,ForeignWorker,CreditEval,AgeBinary,DurationMonth_y,CreditAmount_y,score,age25,DurationMonth_C,CreditAmount_C,Age_C,rank
206,14,12,34,2,1935,61,75,4,93,101,4,121,43,143,152,3,173,1,192,201,1,other,0.117647059,0.907285133,0.655801338,0,1,1,2,40
798,14,24,33,0,717,65,75,4,94,101,4,123,54,143,152,2,173,1,192,201,1,other,0.294117647,0.974303951,0.654590065,0,1,1,3,41
501,11,36,32,1,5493,61,75,2,93,101,4,124,42,143,153,1,173,2,191,201,1,other,0.470588235,0.71151095,0.654033957,0,2,3,2,42
428,14,9,32,2,1313,61,75,1,93,101,4,123,20,143,152,1,173,1,191,201,1,young,0.073529412,0.941509849,0.653960793,1,1,1,1,43
392,11,36,32,0,3249,61,74,2,93,101,4,124,39,141,153,1,174,2,192,201,1,other,0.470588235,0.834984043,0.653749881,0,2,2,2,44
787,14,48,34,1,2751,65,75,4,93,101,3,123,38,143,152,2,173,2,192,201,1,other,0.647058824,0.862385826,0.652919935,0,2,2,2,45
239,11,30,32,3,2522,61,75,1,93,103,3,122,39,143,152,1,173,2,191,201,1,other,0.382352941,0.874986244,0.652528221,0,2,2,2,46
356,14,12,34,3,2331,65,75,1,93,102,4,121,49,143,152,1,173,1,192,201,1,other,0.117647059,0.885495763,0.651747502,0,1,2,2,47
62,12,36,30,9,1953,61,75,4,93,101,4,124,61,143,153,1,174,1,192,201,2,other,0.470588235,0.906294707,0.651513105,0,2,1,3,48
74,11,36,32,6,1977,65,75,4,93,101,4,124,40,143,152,1,174,1,192,201,2,other,0.470588235,0.904974139,0.651267418,0,2,1,2,49
769,14,12,34,3,1655,61,75,2,93,101,4,121,63,143,152,2,172,1,192,201,1,other,0.117647059,0.922691757,0.650915749,0,1,1,3,50
334,11,24,30,2,4110,61,75,3,93,101,4,124,23,141,151,2,173,2,191,201,2,young,0.294117647,0.787608672,0.650863811,1,1,3,1,51
888,14,36,34,0,6614,61,75,4,93,101,4,123,34,143,152,2,174,1,192,201,1,other,0.470588235,0.649829427,0.650310263,0,2,3,1,52
273,12,48,32,3,3060,61,74,4,93,101,4,121,28,143,152,2,173,1,191,201,2,other,0.647058824,0.845383515,0.649756714,0,2,2,1,53
902,14,36,34,1,10477,65,75,2,93,101,4,124,42,143,153,2,173,1,191,201,1,other,0.470588235,0.437273027,0.649524576,0,2,3,2,54
437,14,24,34,0,1287,64,75,4,92,101,4,121,37,143,152,2,173,1,192,201,1,other,0.294117647,0.942940464,0.648754997,0,1,1,2,55
770,11,24,32,1,2812,65,75,2,92,101,4,121,26,143,151,1,173,1,191,201,1,other,0.294117647,0.859029383,0.648647509,0,1,2,1,56
179,11,21,34,0,571,61,75,4,93,101,4,121,65,143,152,2,173,1,191,201,1,other,0.25,0.982337405,0.647876727,0,1,1,3,57
211,14,36,32,3,3835,65,75,2,92,101,4,121,45,143,152,1,172,1,192,201,1,other,0.470588235,0.802740178,0.647751023,0,2,2,2,58
800,14,24,34,6,1597,61,75,4,93,101,4,124,54,143,153,2,173,2,191,201,1,other,0.294117647,0.92588313,0.64558154,0,1,1,3,59
195,12,9,34,6,1501,61,75,2,92,101,3,123,34,143,152,2,174,1,192,201,2,other,0.073529412,0.931165401,0.644284306,0,1,1,1,60
118,11,33,34,2,4281,63,73,1,92,101,4,123,23,143,152,2,173,1,191,201,2,young,0.426470588,0.778199626,0.642729342,1,2,3,1,61
169,12,24,34,9,1935,61,75,4,91,101,4,121,31,143,152,2,173,1,192,201,2,other,0.294117647,0.907285133,0.642121447,0,1,1,1,62
597,12,24,30,9,4241,61,73,1,93,101,4,121,36,143,152,3,172,1,192,201,2,other,0.294117647,0.780400572,0.641770831,0,1,3,2,63
44,11,48,34,1,6143,61,75,4,92,101,4,124,58,142,153,2,172,1,191,201,2,other,0.647058824,0.675745571,0.64145198,0,2,3,3,64
482,11,30,32,2,3622,64,75,4,92,101,4,122,57,143,151,2,173,1,192,201,1,other,0.382352941,0.814460218,0.641267564,0,2,2,3,65
541,14,24,33,0,2032,61,75,4,93,101,4,124,60,143,153,2,173,1,192,201,1,other,0.294117647,0.901947838,0.641128462,0,1,2,3,66
973,11,60,32,9,7297,61,75,4,93,102,4,124,36,143,151,1,173,1,191,201,2,other,0.823529412,0.612248267,0.639214452,0,3,3,2,67
773,14,24,34,3,2223,62,75,4,93,101,4,122,52,141,152,2,173,1,191,201,1,other,0.294117647,0.891438318,0.639173203,0,1,2,3,68
164,14,36,32,0,909,63,75,4,93,101,4,122,36,143,152,1,173,1,191,201,1,other,0.470588235,0.963739408,0.638944678,0,2,1,2,69
156,11,9,34,5,1288,62,75,3,93,103,4,121,48,143,152,2,173,2,191,202,1,other,0.073529412,0.942885441,0.638712841,0,1,1,2,70
467,14,48,33,3,7238,65,75,3,93,101,3,123,32,141,152,2,173,2,191,201,1,other,0.647058824,0.615494663,0.637994447,0,2,3,1,71
16,14,24,34,3,2424,65,75,4,93,101,4,122,53,143,152,2,173,1,191,201,1,other,0.294117647,0.880378563,0.637115574,0,1,2,3,72
75,11,12,34,1,1526,61,75,4,93,101,4,124,66,143,153,2,174,1,191,201,1,other,0.117647059,0.92978981,0.636732441,0,1,1,3,73
520,14,24,34,5,5507,61,75,3,93,101,4,124,44,143,153,2,173,1,191,201,1,other,0.294117647,0.710740618,0.636562778,0,1,3,2,74
213,13,30,33,9,1908,61,75,4,93,101,4,121,66,143,152,1,174,1,192,201,2,other,0.382352941,0.908770771,0.6355579,0,2,1,3,75
801,12,18,34,3,1795,61,75,3,92,103,4,121,48,141,151,2,172,1,192,201,1,other,0.205882353,0.914988445,0.634890691,0,1,1,2,76
611,13,10,32,0,1240,62,75,1,92,101,4,124,48,143,153,1,172,2,191,201,2,other,0.088235294,0.945526576,0.634188255,0,1,1,2,77
280,14,15,34,1,3368,64,75,3,93,101,4,124,23,143,151,2,173,1,192,201,1,young,0.161764706,0.828436228,0.633835833,1,1,2,1,78
51,12,27,33,1,5965,61,75,1,93,101,2,123,30,143,152,2,174,1,192,201,1,other,0.338235294,0.685539782,0.632330247,0,2,3,1,79
760,14,15,34,0,5045,65,75,1,92,101,4,123,59,143,152,1,173,1,192,201,1,other,0.161764706,0.736161549,0.632172327,0,1,3,3,80
870,14,36,33,2,7678,63,74,2,92,101,4,123,40,143,152,2,173,1,192,201,1,other,0.470588235,0.591284252,0.631666199,0,2,3,2,81
838,11,24,34,1,2957,61,75,4,93,101,4,122,63,143,152,2,173,1,192,201,1,other,0.294117647,0.851050952,0.631659274,0,1,2,3,82
266,14,36,34,9,6304,65,75,4,93,101,4,121,36,143,152,2,173,1,191,201,1,other,0.470588235,0.666886761,0.630227906,0,2,3,2,83
961,12,21,33,0,2353,61,73,1,91,101,4,122,47,143,152,2,173,1,191,201,1,other,0.25,0.884285243,0.629634464,0,1,2,2,84
149,14,18,34,3,1582,64,75,4,93,101,4,123,46,143,152,2,173,1,191,201,1,other,0.205882353,0.926708485,0.629319226,0,1,1,2,85
705,14,15,32,0,5324,63,75,1,92,101,4,124,35,143,153,1,173,1,191,201,1,other,0.161764706,0.720809948,0.629316215,0,1,3,2,86
900,11,16,34,0,2625,61,75,2,93,103,4,122,43,141,151,1,173,1,192,201,2,other,0.176470588,0.869318807,0.628673996,0,1,2,2,87
13,11,24,34,0,1199,61,75,4,93,101,4,123,60,143,152,2,172,1,191,201,2,other,0.294117647,0.947782546,0.626400036,0,1,1,3,88
134,14,60,32,3,10144,62,74,2,92,101,4,121,21,143,152,1,173,1,192,201,1,young,0.823529412,0.455595906,0.625573703,1,3,3,1,89
833,12,24,32,3,5084,65,75,2,92,101,4,123,42,143,152,1,173,1,192,201,1,other,0.294117647,0.734015627,0.625389136,0,1,3,2,90
93,13,24,34,2,3617,65,75,4,93,102,4,124,20,143,151,2,173,1,191,201,1,young,0.294117647,0.814735336,0.624902881,1,1,2,1,91
538,11,48,32,0,7763,61,75,4,93,101,4,124,42,141,153,1,174,1,191,201,2,other,0.647058824,0.586607241,0.624868105,0,2,3,2,92
502,13,9,32,3,1126,62,75,2,91,101,4,121,49,143,152,1,173,1,191,201,1,other,0.073529412,0.951799274,0.624867352,0,1,1,2,93
46,14,36,32,3,2299,63,75,4,93,101,4,123,39,143,152,1,173,1,191,201,1,other,0.470588235,0.88725652,0.624715303,0,2,2,2,94
98,12,36,34,3,2337,61,75,4,93,101,4,121,36,143,152,1,173,1,191,201,1,other,0.470588235,0.885165621,0.624326299,0,2,2,2,95
933,14,12,34,3,522,63,75,4,93,101,4,122,42,143,152,2,173,2,192,201,1,other,0.117647059,0.985033564,0.623754535,0,1,1,2,96
448,13,12,32,2,1424,65,75,3,92,101,4,121,55,143,152,1,174,1,192,201,1,other,0.117647059,0.935402223,0.622272735,0,1,1,3,97
927,11,48,32,1,10297,61,74,4,93,101,4,124,39,142,153,3,173,2,192,201,2,other,0.647058824,0.447177286,0.622183462,0,2,3,2,98
479,11,15,34,2,1478,61,75,4,93,101,4,123,44,143,152,2,173,2,192,201,1,other,0.161764706,0.932430945,0.622175935,0,1,1,2,99
61,12,15,34,3,1537,65,75,4,93,103,4,121,50,143,152,2,173,1,192,201,1,other,0.161764706,0.929184549,0.621571954,0,1,1,3,100
463,12,12,32,8,754,65,75,4,93,101,4,122,38,143,152,2,173,1,191,201,1,other,0.117647059,0.972268075,0.62137956,0,1,1,2,101
315,11,36,31,2,2746,61,75,4,93,101,4,123,31,141,152,1,173,1,191,201,2,other,0.470588235,0.862660944,0.620139382,0,2,2,1,102
580,12,18,34,0,1056,61,75,3,93,103,3,121,30,141,152,2,173,1,191,201,2,other,0.205882353,0.95565093,0.619199991,0,1,1,1,103
803,14,12,34,3,976,65,75,4,93,101,4,123,35,143,152,2,173,1,191,201,1,other,0.117647059,0.960052823,0.619106955,0,1,1,2,104
719,12,20,30,1,6148,62,75,3,94,101,4,123,31,141,152,2,173,1,192,201,1,other,0.235294118,0.675470452,0.619056974,0,1,3,1,105
264,14,10,34,0,1231,61,75,3,93,101,4,121,32,143,152,2,172,2,191,202,1,other,0.088235294,0.946021789,0.618776512,0,1,1,1,106
891,14,15,34,3,1829,61,75,4,93,101,4,123,46,143,152,2,173,1,192,201,1,other,0.161764706,0.913117641,0.618582762,0,1,1,2,107
992,11,18,32,3,1936,65,74,2,94,101,4,123,23,143,151,2,172,1,191,201,1,young,0.205882353,0.907230109,0.617943404,1,1,1,1,108
375,11,48,31,9,7685,61,74,2,92,103,4,123,37,143,151,1,173,1,191,201,2,other,0.647058824,0.590899087,0.61791465,0,2,3,2,109
729,13,24,34,9,1275,64,73,2,91,101,4,121,36,143,152,2,173,1,192,201,1,other,0.294117647,0.943600748,0.617870089,0,1,1,2,110
956,13,30,34,3,3656,65,75,4,93,101,4,122,49,142,152,2,172,1,191,201,1,other,0.382352941,0.812589413,0.617663694,0,2,2,2,111
6,14,24,32,2,2835,63,75,3,93,101,4,122,53,143,152,1,173,1,191,201,1,other,0.294117647,0.857763838,0.617404307,0,1,2,3,112
788,12,48,33,6,6224,61,75,4,93,101,4,124,50,143,153,1,173,1,191,201,2,other,0.647058824,0.671288654,0.617366973,0,2,3,3,113
160,14,24,34,3,2872,62,75,3,93,101,4,121,36,143,152,1,173,2,192,201,1,other,0.294117647,0.855727963,0.61702554,0,1,2,2,114
793,13,24,32,2,2892,61,75,3,91,101,4,124,51,143,153,1,173,1,191,201,1,other,0.294117647,0.85462749,0.616820801,0,1,2,3,115
710,14,18,34,3,629,63,75,4,93,101,3,122,32,141,152,2,174,1,192,201,1,other,0.205882353,0.979146033,0.615819235,0,1,1,1,116
637,14,60,33,3,15653,61,74,2,93,101,4,123,21,143,152,2,173,1,192,201,1,young,0.823529412,0.152470562,0.615689918,1,3,3,1,117
123,13,10,34,0,781,61,75,4,93,101,4,124,63,143,153,2,173,1,192,201,1,other,0.088235294,0.970782436,0.615631206,0,1,1,3,118
293,13,42,34,1,4796,61,75,4,93,101,4,124,56,143,153,1,173,1,191,201,1,other,0.558823529,0.749862441,0.615569483,0,2,3,3,119
796,11,18,32,1,7511,65,75,1,93,101,4,122,51,143,153,1,173,2,192,201,2,other,0.205882353,0.600473203,0.615135917,0,1,3,3,120
150,14,6,32,3,1346,62,75,2,93,101,4,124,42,141,153,1,173,2,192,201,1,other,0.029411765,0.939694068,0.614407287,0,1,1,2,121
371,14,18,34,3,6070,61,75,3,93,101,4,123,33,143,152,2,173,1,192,201,1,other,0.205882353,0.679762298,0.614383501,0,1,3,1,122
786,14,22,32,3,2675,63,75,3,93,101,4,123,40,143,152,1,173,1,191,201,1,other,0.264705882,0.866567624,0.613570265,0,1,2,2,123
754,14,12,33,5,1555,64,75,4,93,101,4,124,55,143,153,2,173,2,191,201,2,other,0.117647059,0.928194123,0.613179755,0,1,1,3,124
928,14,30,32,3,1867,65,75,4,93,101,4,123,58,143,152,1,173,1,192,201,1,other,0.382352941,0.911026741,0.612721801,0,2,1,3,125
978,14,24,33,0,2538,61,75,4,93,101,4,123,47,143,152,2,172,2,191,201,2,other,0.294117647,0.874105866,0.612692747,0,1,2,2,126
268,11,14,32,0,8978,61,75,1,91,101,4,122,45,143,152,1,174,1,192,202,2,other,0.147058824,0.519753494,0.612430199,0,1,3,2,127
189,12,18,30,2,3244,61,73,1,92,101,4,123,33,141,152,2,173,1,192,201,1,other,0.205882353,0.835259161,0.612305398,0,1,2,1,128
776,14,36,34,0,3535,61,74,4,93,101,4,123,37,143,152,2,173,1,192,201,1,other,0.470588235,0.819247276,0.612062421,0,2,2,2,129
453,14,24,32,1,2670,61,75,4,93,101,4,123,35,143,152,1,174,1,192,201,1,other,0.294117647,0.866842742,0.611341468,0,1,2,2,130
668,11,12,34,0,4843,61,75,3,93,102,4,122,43,143,151,2,173,1,192,201,2,other,0.117647059,0.747276329,0.610528382,0,1,3,2,131
867,14,12,34,2,3331,61,75,2,93,101,4,122,42,142,152,1,173,1,191,201,1,other,0.117647059,0.830472103,0.61050279,0,1,2,2,132
177,11,6,34,3,338,63,75,4,93,101,4,123,52,143,152,2,173,1,191,201,1,other,0.029411765,0.995157918,0.609222267,0,1,1,3,133
277,11,12,32,2,1262,65,75,2,91,101,4,122,49,143,152,1,172,1,192,201,1,other,0.117647059,0.944316056,0.608427246,0,1,1,2,134
190,14,24,32,9,4591,64,73,2,93,101,3,122,54,143,152,3,174,1,192,201,2,other,0.294117647,0.761142291,0.607180144,0,1,3,3,135
186,12,9,31,1,5129,61,75,2,92,101,4,124,74,141,153,1,174,2,192,201,2,other,0.073529412,0.731539562,0.607144615,0,1,3,3,136
968,14,42,32,3,7166,65,74,2,94,101,4,122,29,143,151,1,173,1,192,201,1,other,0.558823529,0.619456366,0.606811764,0,2,3,1,137
325,11,8,34,0,3398,61,74,1,93,101,4,121,39,143,152,2,172,1,191,202,1,other,0.058823529,0.826785518,0.606624939,0,1,2,2,138
519,14,6,34,3,700,65,75,4,93,101,4,124,36,143,153,2,173,1,191,201,1,other,0.029411765,0.975239353,0.605516487,0,1,1,2,139
712,14,21,32,1,2476,65,75,4,93,101,4,121,46,143,152,1,174,1,192,201,1,other,0.25,0.877517332,0.605119504,0,1,2,2,140
791,14,24,32,1,6313,65,75,3,93,101,4,123,41,143,152,1,174,2,192,201,1,other,0.294117647,0.666391548,0.605055974,0,1,3,2,141
851,14,24,34,1,4042,65,74,3,93,101,4,122,43,143,152,2,173,1,192,201,1,other,0.294117647,0.791350281,0.605048297,0,1,3,2,142
629,14,9,32,6,3832,65,75,1,93,101,4,121,64,143,152,1,172,1,191,201,1,other,0.073529412,0.802905249,0.604918076,0,1,2,3,143
415,14,36,34,1,5842,61,75,2,93,101,2,122,35,143,152,2,173,2,192,201,1,other,0.470588235,0.692307692,0.60394963,0,2,3,2,144
557,14,21,30,0,5003,65,73,1,92,101,4,122,29,141,152,2,173,1,192,201,2,other,0.25,0.738472543,0.60250652,0,1,3,1,145
202,14,27,33,9,5117,61,74,3,93,101,4,123,26,143,152,2,173,1,191,201,1,other,0.338235294,0.732199846,0.602251499,0,2,3,1,146
590,11,12,34,3,385,61,74,4,92,101,3,121,58,143,152,4,172,1,192,201,1,other,0.117647059,0.992571806,0.601901184,0,1,1,3,147
669,13,30,34,3,3017,61,75,4,93,101,4,122,47,143,152,1,173,1,191,201,1,other,0.382352941,0.847749532,0.600949297,0,2,2,2,148
0,11,6,34,3,1169,65,75,4,93,101,4,121,67,143,152,2,173,1,192,201,1,other,0.029411765,0.949433256,0.600715353,0,1,1,3,149
641,12,15,32,5,1308,61,75,4,93,101,4,123,38,143,152,2,172,1,191,201,1,other,0.161764706,0.941784968,0.600660404,0,1,1,2,150
596,11,24,32,0,1442,61,74,4,92,101,4,123,23,143,151,2,173,1,191,201,2,young,0.294117647,0.934411797,0.600656641,1,1,1,1,151
3,11,42,32,2,7882,61,74,2,93,103,4,122,45,143,153,1,173,2,191,201,1,other,0.558823529,0.580059426,0.5994821,0,2,3,2,152
261,11,24,32,3,1603,61,75,4,92,101,4,123,55,143,152,1,173,1,191,201,1,other,0.294117647,0.925552988,0.59900849,0,1,1,3,153
153,12,24,34,1,7758,64,75,2,92,101,4,124,29,143,151,1,173,1,191,201,1,other,0.294117647,0.586882359,0.598015505,0,1,3,1,154
110,12,6,33,9,1449,62,75,1,91,101,2,123,31,141,152,2,173,2,191,201,1,other,0.029411765,0.934026631,0.597849004,0,1,1,1,155
781,14,24,34,0,1940,64,75,4,93,101,4,121,60,143,152,1,173,1,192,201,1,other,0.294117647,0.907010014,0.595558635,0,1,1,3,156
410,12,24,32,3,1967,61,75,4,92,101,4,123,20,143,152,1,173,1,192,201,1,young,0.294117647,0.905524375,0.595282237,1,1,1,1,157
158,12,24,32,0,3512,62,74,2,93,101,3,123,38,141,152,2,173,1,192,201,1,other,0.294117647,0.820512821,0.594970009,0,1,2,2,158
699,13,15,32,6,1905,61,75,4,93,101,4,123,40,143,151,1,174,1,192,201,1,other,0.161764706,0.908935842,0.594548939,0,1,1,2,159
814,11,48,32,0,3931,61,74,4,93,101,4,124,46,143,153,1,173,2,191,201,2,other,0.647058824,0.797457907,0.594328694,0,2,2,2,160
828,11,36,32,1,8335,65,75,3,93,101,4,124,47,143,153,1,173,1,191,201,2,other,0.470588235,0.555133707,0.593932765,0,2,3,2,161
341,11,21,32,2,3599,61,74,1,92,101,4,123,26,143,151,1,172,1,191,201,1,other,0.25,0.815725762,0.593623398,0,1,2,1,162
537,12,18,34,2,3612,61,75,3,92,101,4,122,37,143,152,1,173,1,192,201,1,other,0.205882353,0.815010454,0.593034321,0,1,2,2,163
544,14,12,34,0,1255,61,75,4,93,101,4,121,61,143,152,2,172,1,191,201,1,other,0.117647059,0.944701222,0.592995029,0,1,1,3,164
406,14,24,34,1,2197,65,74,4,93,101,4,123,43,143,152,2,173,2,192,201,1,other,0.294117647,0.892868934,0.592927736,0,1,2,2,165
522,11,48,30,2,7119,61,73,3,93,101,4,124,53,143,153,2,173,2,191,201,2,other,0.647058824,0.622042478,0.592701017,0,2,3,3,166
393,11,6,34,3,1957,61,74,1,92,101,4,123,31,143,152,1,173,1,191,201,1,other,0.029411765,0.906074612,0.592648628,0,1,1,1,167
898,14,15,32,2,2186,65,74,1,92,101,4,121,33,141,151,1,172,1,191,201,1,other,0.161764706,0.893474194,0.591672353,0,1,2,1,168
377,14,7,33,3,846,65,75,3,93,101,4,124,36,143,153,1,173,1,191,201,1,other,0.044117647,0.967205899,0.591253993,0,1,1,2,169
825,11,21,34,0,1602,61,75,4,94,101,3,123,30,143,152,2,173,1,192,201,1,other,0.25,0.925608011,0.590810793,0,1,1,1,170
589,11,12,34,2,2246,61,75,3,93,101,3,122,60,143,152,2,173,1,191,201,2,other,0.117647059,0.890172774,0.590602139,0,1,2,3,171
168,14,24,32,2,3972,61,74,2,92,101,4,122,25,143,151,1,173,1,192,201,1,young,0.294117647,0.795201937,0.590261008,0,1,2,1,172
184,12,18,34,0,884,61,75,4,93,101,4,123,36,141,152,1,173,2,192,201,2,other,0.205882353,0.965114999,0.589952996,0,1,1,2,173
822,11,36,32,2,2712,61,75,2,93,101,2,122,41,141,152,1,173,2,191,201,2,other,0.470588235,0.864531749,0.589479687,0,2,2,2,174
839,14,24,34,3,2611,61,75,4,94,102,3,121,46,143,152,2,173,1,191,201,1,other,0.294117647,0.870089138,0.588689634,0,1,2,2,175
813,11,48,32,4,3051,61,73,3,93,101,4,123,54,143,152,1,173,1,191,201,2,other,0.647058824,0.845878728,0.587833343,0,2,2,3,176
231,14,9,32,0,2507,63,75,2,93,101,4,124,51,143,153,1,172,1,191,201,1,other,0.073529412,0.875811599,0.587474297,0,1,2,3,177
823,11,8,34,0,731,61,75,4,93,101,4,121,47,143,152,2,172,1,191,201,1,other,0.058823529,0.973533619,0.587415284,0,1,1,2,178
198,12,24,32,1,2760,65,75,4,93,101,4,124,36,141,153,1,173,1,192,201,1,other,0.294117647,0.861890613,0.587164327,0,1,2,2,179
551,14,6,31,3,1750,63,75,2,93,101,4,122,45,141,152,1,172,2,191,201,1,other,0.029411765,0.91746451,0.587015741,0,1,1,2,180
574,12,9,32,3,1082,61,75,4,93,101,4,123,27,143,152,2,172,1,191,201,1,other,0.073529412,0.954220315,0.586558089,0,1,1,1,181
