StatusExistingAcc,DurationMonth_x,CreditHistory,Purpose,CreditAmount_x,SavingsAccount,EmploymentLength,InstallmentRate,MarriedNSex,Debtors,ResidenceLength,Property,Age,InstallmentPlans,Housing,ExistingCredit,Job,NumPeopleLiable,Telephone,ForeignWorker,CreditEval,AgeBinary,DurationMonth_y,CreditAmount_y,score,age25
13,12,31,43,409,64,73,3,92,101,3,121,42,143,151,2,173,1,191,201,1,other,0.117647059,0.991251238,0.516384179,0
12,7,32,43,2415,61,73,3,93,103,2,121,34,143,152,1,173,1,191,201,1,other,0.044117647,0.880873776,0.389145691,0
11,60,33,49,6836,61,75,3,93,101,4,124,63,143,152,2,173,1,192,201,2,other,0.823529412,0.637614174,0.72145307,0
12,18,32,49,1913,64,72,3,94,101,3,121,36,141,152,1,173,1,192,201,1,other,0.205882353,0.908495653,0.424380404,0
11,24,32,42,4020,61,73,2,93,101,2,123,27,142,152,1,173,1,191,201,1,other,0.294117647,0.792560801,0.45023475,0
12,18,32,40,5866,62,73,2,93,101,2,123,30,143,152,2,173,1,192,201,1,other,0.205882353,0.690987124,0.461433081,0
14,12,34,49,1264,65,75,4,93,101,4,124,57,143,151,1,172,1,191,201,1,other,0.117647059,0.944206009,0.546391268,0
13,12,32,42,1474,61,72,4,92,101,1,122,33,141,152,1,174,1,192,201,1,other,0.117647059,0.93265104,0.311683367,0
12,45,34,43,4746,61,72,4,93,101,2,122,25,143,152,2,172,1,191,201,2,young,0.602941176,0.752613624,0.41498694,0
14,48,34,46,6110,61,73,1,93,101,3,124,31,141,153,1,173,1,192,201,1,other,0.647058824,0.677561351,0.572022358,0
13,18,32,43,2100,61,73,4,93,102,2,121,37,142,152,1,173,1,191,201,2,other,0.205882353,0.898206229,0.391458341,0
13,10,32,44,1225,61,73,2,93,101,2,123,37,143,152,1,173,1,192,201,1,other,0.088235294,0.946351931,0.44054336,0
12,9,32,43,458,61,73,4,93,101,3,121,24,143,152,1,173,1,191,201,1,young,0.073529412,0.988555079,0.430155254,1
14,30,32,43,2333,63,75,4,93,101,2,123,30,141,152,1,174,1,191,201,1,other,0.382352941,0.885385716,0.538183936,0
12,12,32,43,1158,63,73,3,91,101,1,123,26,143,152,1,173,1,192,201,1,other,0.117647059,0.950038517,0.369181812,0
12,18,33,45,6204,61,73,2,93,101,4,121,44,143,152,1,172,2,192,201,1,other,0.205882353,0.672389127,0.481228803,0
11,30,34,41,6187,62,74,1,94,101,4,123,24,143,151,2,173,1,191,201,1,young,0.382352941,0.67332453,0.66152139,1
11,48,34,41,6143,61,75,4,92,101,4,124,58,142,153,2,172,1,191,201,2,other,0.647058824,0.675745571,0.64145198,0
14,11,34,40,1393,61,72,4,92,101,4,123,35,143,152,2,174,1,191,201,1,other,0.102941176,0.937107956,0.495823094,0
14,36,32,43,2299,63,75,4,93,101,4,123,39,143,152,1,173,1,191,201,1,other,0.470588235,0.88725652,0.624715303,0
11,6,32,41,1352,63,71,1,92,101,2,122,23,143,151,1,171,1,192,201,1,young,0.029411765,0.939363926,0.319772222,1
14,11,34,40,7228,61,73,1,93,101,4,122,39,143,152,2,172,1,191,201,1,other,0.102941176,0.616044899,0.529113689,0
14,12,32,43,2073,62,73,4,92,102,2,121,28,143,152,1,173,1,191,201,1,other,0.117647059,0.899691868,0.37531887,0
12,24,33,42,2333,65,72,4,93,101,2,122,29,141,152,1,172,1,191,201,1,other,0.294117647,0.885385716,0.335721556,0
12,27,33,41,5965,61,75,1,93,101,2,123,30,143,152,2,174,1,192,201,1,other,0.338235294,0.685539782,0.632330247,0
14,12,32,43,1262,61,73,3,93,101,2,123,25,143,152,1,173,1,191,201,1,young,0.117647059,0.944316056,0.414628797,0
14,18,32,41,3378,65,73,2,93,101,1,122,31,143,152,1,173,1,192,201,1,other,0.205882353,0.827885991,0.393879382,0
12,36,33,40,2225,61,75,4,93,101,4,124,57,141,153,2,173,1,192,201,2,other,0.470588235,0.891328271,0.671984466,0
14,6,31,40,783,65,73,1,93,103,2,121,26,142,152,1,172,2,191,201,1,other,0.029411765,0.970672389,0.441876122,0
12,12,32,43,6468,65,71,2,93,101,1,124,52,143,152,1,174,1,192,201,2,other,0.117647059,0.657862881,0.276063865,0
14,36,34,43,9566,61,73,2,92,101,2,123,31,142,152,2,173,1,191,201,1,other,0.470588235,0.487399582,0.472803935,0
13,18,32,40,1961,61,75,3,92,101,2,123,23,143,152,1,174,1,191,201,1,young,0.205882353,0.905854517,0.5401681,1
11,36,34,42,6229,61,72,4,92,102,4,124,23,143,151,2,172,1,192,201,2,young,0.470588235,0.671013536,0.468204981,1
12,9,32,49,1391,61,73,2,94,101,1,121,27,141,152,1,173,1,192,201,1,other,0.073529412,0.937218004,0.389596418,0
12,15,34,43,1537,65,75,4,93,103,4,121,50,143,152,2,173,1,192,201,1,other,0.161764706,0.929184549,0.621571954,0
12,36,30,49,1953,61,75,4,93,101,4,124,61,143,153,1,174,1,192,201,2,other,0.470588235,0.906294707,0.651513105,0
12,48,30,49,14421,61,73,2,93,101,2,123,25,143,152,1,173,1,192,201,2,young,0.647058824,0.220259712,0.409423603,0
14,24,32,43,3181,61,72,4,92,101,4,122,26,143,152,1,173,1,192,201,1,other,0.294117647,0.838725652,0.443319684,0
14,27,32,45,5190,65,75,4,93,101,4,122,48,143,152,4,173,2,192,201,1,other,0.338235294,0.728183119,0.710031333,0
14,12,32,43,2171,61,72,2,92,101,2,123,29,141,152,1,173,1,191,201,1,other,0.117647059,0.894299549,0.389819524,0
12,12,32,40,1007,64,73,4,94,101,1,121,22,143,152,1,173,1,191,201,1,young,0.117647059,0.958347089,0.339719842,1
14,36,32,46,1819,61,73,4,93,101,4,124,37,142,153,1,173,1,192,201,2,other,0.470588235,0.913667877,0.536605788,0
14,36,32,43,2394,65,73,4,92,101,4,123,25,143,152,1,173,1,191,201,1,young,0.470588235,0.882029273,0.530719536,0
14,36,32,41,8133,61,73,1,92,101,2,122,30,141,152,1,173,1,191,201,1,other,0.470588235,0.566248487,0.471969623,0
14,7,34,43,730,65,75,4,93,101,2,122,46,143,151,2,172,1,192,201,1,other,0.044117647,0.973588643,0.491666287,0
11,8,34,410,1164,61,75,3,93,101,4,124,51,141,153,2,174,2,192,201,1,other,0.058823529,0.949708375,0.66050206,0
12,42,34,49,5954,61,74,2,92,101,1,121,41,141,152,2,172,1,191,201,1,other,0.558823529,0.686145042,0.502939889,0
11,36,32,46,1977,65,75,4,93,101,4,124,40,143,152,1,174,1,192,201,2,other,0.470588235,0.904974139,0.651267418,0
11,12,34,41,1526,61,75,4,93,101,4,124,66,143,153,2,174,1,191,201,1,other,0.117647059,0.92978981,0.636732441,0
11,42,32,43,3965,61,72,4,93,101,3,123,34,143,152,1,173,1,191,201,2,other,0.558823529,0.795587102,0.438029885,0
12,11,33,43,4771,61,74,2,93,101,4,122,51,143,152,1,173,1,191,201,1,other,0.102941176,0.751238032,0.546513961,0
14,54,30,41,9436,65,73,2,93,101,2,122,39,143,152,1,172,2,191,201,1,other,0.735294118,0.494552658,0.453614904,0
12,30,32,42,3832,61,72,2,94,101,1,122,22,143,152,1,173,1,191,201,1,young,0.382352941,0.802905249,0.375551911,1
14,24,32,43,5943,65,72,1,92,101,1,123,44,143,152,2,173,1,192,201,2,other,0.294117647,0.686750303,0.4150452,0
14,15,32,43,1213,63,75,4,93,101,3,122,47,142,152,1,173,1,192,201,1,other,0.161764706,0.947012215,0.531865474,0
14,18,32,49,1568,62,73,3,92,101,4,122,24,143,151,1,172,1,191,201,1,young,0.205882353,0.927478816,0.497679597,1
11,24,32,410,1755,61,75,4,92,103,4,121,58,143,152,1,172,1,192,201,1,other,0.294117647,0.917189391,0.574196658,0
11,10,32,43,2315,61,75,3,93,101,4,121,52,143,152,1,172,1,191,201,1,other,0.088235294,0.886376142,0.561168019,0
14,12,34,49,1412,61,73,4,92,103,2,121,29,143,152,2,174,1,192,201,1,other,0.117647059,0.936062507,0.451852942,0
12,18,34,42,1295,61,72,4,92,101,1,122,27,143,152,2,173,1,191,201,1,other,0.205882353,0.942500275,0.353187466,0
12,36,32,46,12612,62,73,1,93,101,4,124,47,143,153,1,173,2,192,201,2,other,0.470588235,0.319797513,0.519141535,0
11,18,32,40,2249,62,74,4,93,101,3,123,30,143,152,1,174,2,192,201,1,other,0.205882353,0.890007703,0.506212103,0
11,12,30,45,1108,61,74,4,93,101,3,121,28,143,152,2,173,1,191,201,2,other,0.117647059,0.9527897,0.52473242,0
14,12,34,43,618,61,75,4,93,101,4,121,56,143,152,1,173,1,191,201,1,other,0.117647059,0.979751293,0.576260158,0
11,12,34,41,1409,61,75,4,93,101,3,121,54,143,152,1,173,1,191,201,1,other,0.117647059,0.936227578,0.521651095,0
14,12,34,43,797,65,75,4,92,101,3,122,33,141,152,1,172,2,191,201,2,other,0.117647059,0.969902058,0.504660301,0
13,24,34,42,3617,65,75,4,93,102,4,124,20,143,151,2,173,1,191,201,1,young,0.294117647,0.814735336,0.624902881,1
12,12,32,40,1318,64,75,4,93,101,4,121,54,143,152,1,173,1,192,201,1,other,0.117647059,0.941234731,0.569094286,0
12,54,30,49,15945,61,72,3,93,101,4,124,58,143,151,1,173,1,192,201,2,other,0.735294118,0.136403654,0.425742221,0
14,12,34,46,2012,65,74,4,92,101,2,123,61,143,152,1,173,1,191,201,1,other,0.117647059,0.903048311,0.422454952,0
12,18,32,49,2622,62,73,4,93,101,4,123,34,143,152,1,173,1,191,201,1,other,0.205882353,0.869483878,0.479137903,0
12,36,34,43,2337,61,75,4,93,101,4,121,36,143,152,1,173,1,191,201,1,other,0.470588235,0.885165621,0.624326299,0
12,20,33,41,7057,65,74,3,93,101,4,122,36,141,151,2,174,2,192,201,1,other,0.235294118,0.625453945,0.586495764,0
14,24,32,40,1469,62,75,4,94,101,4,121,41,143,151,1,172,1,191,201,1,other,0.294117647,0.932926158,0.577124429,0
12,36,32,43,2323,61,74,4,93,101,4,123,24,143,151,1,173,1,191,201,1,young,0.470588235,0.885935952,0.577957988,1
14,6,33,43,932,61,73,3,92,101,2,121,24,143,152,1,173,1,191,201,1,young,0.029411765,0.962473864,0.401591125,1
12,9,34,42,1919,61,74,4,93,101,3,123,35,143,151,1,173,1,192,201,1,other,0.073529412,0.908165511,0.461710683,0
14,12,32,41,2445,65,72,2,94,101,4,123,26,143,151,1,173,1,192,201,1,other,0.117647059,0.879223066,0.480037853,0
12,24,34,410,11938,61,73,2,93,102,3,123,39,143,152,2,174,2,192,201,2,other,0.294117647,0.35688346,0.48545757,0
14,18,31,40,6458,61,75,2,93,101,4,124,39,141,152,2,174,2,192,201,2,other,0.205882353,0.658413118,0.664675126,0
12,12,32,40,6078,61,74,2,93,101,2,123,32,143,152,1,173,1,191,201,1,other,0.117647059,0.679322109,0.442846977,0
11,24,32,42,7721,65,72,1,92,101,2,122,30,143,152,1,173,1,192,202,1,other,0.294117647,0.588918235,0.396843885,0
12,14,32,49,1410,63,75,1,94,101,2,121,35,143,152,1,173,1,192,201,1,other,0.147058824,0.936172554,0.573624442,0
12,6,33,49,1449,62,75,1,91,101,2,123,31,141,152,2,173,2,191,201,1,other,0.029411765,0.934026631,0.597849004,0
13,15,32,46,392,61,72,4,92,101,4,122,23,143,151,1,173,1,192,201,1,young,0.161764706,0.99218664,0.447246762,1
12,18,32,40,6260,61,74,3,93,101,3,121,28,143,151,1,172,1,191,201,1,other,0.205882353,0.669307802,0.449647781,0
14,36,34,40,7855,61,73,4,92,101,2,121,25,142,152,2,173,1,192,201,2,young,0.470588235,0.581545064,0.42830387,0
11,12,32,43,1680,63,75,3,94,101,1,121,35,143,152,1,173,1,191,201,1,other,0.117647059,0.921316166,0.456861375,0
14,48,34,43,3578,65,75,4,93,101,1,121,47,143,152,1,173,1,192,201,1,other,0.647058824,0.816881259,0.504919085,0
11,42,32,43,7174,65,74,4,92,101,3,123,30,143,152,1,174,1,192,201,2,other,0.558823529,0.619016177,0.52145855,0
11,10,34,42,2132,65,72,2,92,102,3,121,27,143,151,2,173,1,191,202,1,other,0.088235294,0.896445472,0.477770065,0
11,33,34,42,4281,63,73,1,92,101,4,123,23,143,152,2,173,1,191,201,2,young,0.426470588,0.778199626,0.642729342,1
12,12,34,40,2366,63,74,3,91,101,3,123,36,143,152,1,174,1,192,201,1,other,0.117647059,0.883569935,0.519606262,0
11,21,32,43,1835,61,73,3,92,101,2,121,25,143,152,2,173,1,192,201,2,young,0.25,0.912787499,0.479898449,0
14,24,34,41,3868,61,75,4,92,101,2,123,41,143,151,2,174,1,192,201,1,other,0.294117647,0.800924397,0.552565962,0
14,12,32,42,1768,61,73,3,93,101,2,121,24,143,151,1,172,1,191,201,1,young,0.117647059,0.916474084,0.386193081,1
13,10,34,40,781,61,75,4,93,101,4,124,63,143,153,2,173,1,192,201,1,other,0.088235294,0.970782436,0.615631206,0
12,18,32,42,1924,65,72,4,92,101,3,121,27,143,151,1,173,1,191,201,2,other,0.205882353,0.907890393,0.393260046,0
11,12,34,40,2121,61,73,4,93,101,2,122,30,143,152,2,173,1,191,201,1,other,0.117647059,0.897050732,0.421339124,0
11,12,32,43,701,61,73,4,94,101,2,121,40,143,152,1,172,1,191,201,1,other,0.117647059,0.975184329,0.366108165,0
12,12,32,45,639,61,73,4,93,101,2,123,30,143,152,1,173,1,191,201,2,other,0.117647059,0.978595796,0.389998671,0
12,12,34,41,1860,61,71,4,93,101,2,123,34,143,152,2,174,1,192,201,1,other,0.117647059,0.911411907,0.354243529,0
11,12,34,40,3499,61,73,3,92,102,2,121,29,143,152,2,173,1,191,201,2,other,0.117647059,0.821228128,0.438240345,0
12,48,32,40,8487,65,74,1,92,101,2,123,24,143,152,1,173,1,191,201,1,young,0.647058824,0.546770111,0.547689104,1
11,36,33,46,6887,61,73,4,93,101,3,122,29,142,152,1,173,1,192,201,2,other,0.470588235,0.634807967,0.438213247,0
14,15,32,42,2708,61,72,2,93,101,3,122,27,141,152,2,172,1,191,201,1,other,0.161764706,0.864751843,0.462297653,0
14,18,32,42,1984,61,73,4,93,101,4,124,47,141,153,2,173,1,191,201,1,other,0.205882353,0.904588973,0.532180712,0
14,60,32,43,10144,62,74,2,92,101,4,121,21,143,152,1,173,1,192,201,1,young,0.823529412,0.455595906,0.625573703,1
14,12,34,43,1240,65,75,4,92,101,2,121,38,143,152,2,173,1,192,201,1,other,0.117647059,0.945526576,0.523381141,0
14,27,33,41,8613,64,73,2,93,101,2,123,27,143,152,2,173,1,191,201,1,other,0.338235294,0.53983713,0.457935955,0
12,12,32,43,766,63,73,4,93,101,3,121,66,143,152,1,172,1,191,201,2,other,0.117647059,0.971607791,0.411954391,0
12,15,34,43,2728,65,74,4,93,103,2,121,35,141,152,3,173,1,192,201,1,other,0.161764706,0.86365137,0.516356479,0
13,12,32,43,1881,61,73,2,92,101,2,123,44,143,151,1,172,1,192,201,1,other,0.117647059,0.91025641,0.416044056,0
13,6,32,40,709,64,72,2,94,101,2,121,27,143,152,1,171,1,191,202,1,other,0.029411765,0.97474414,0.341858463,0
12,36,32,43,4795,61,72,4,92,101,1,124,30,143,152,1,174,1,192,201,1,other,0.470588235,0.749917465,0.343349898,0
11,27,32,43,3416,61,73,3,93,101,2,123,27,143,152,1,174,1,191,201,1,other,0.338235294,0.825795092,0.45687387,0
11,18,32,42,2462,61,73,2,93,101,2,123,22,143,152,1,173,1,191,201,2,young,0.205882353,0.878287664,0.449768065,1
14,21,34,42,2288,61,72,4,92,101,4,122,23,143,152,1,173,1,192,201,1,young,0.25,0.887861781,0.444253355,1
12,48,31,49,3566,62,74,4,93,101,2,123,30,143,152,1,173,1,191,201,1,other,0.647058824,0.817541543,0.505041929,0
11,6,34,40,860,61,75,1,92,101,4,124,39,143,152,2,173,1,192,201,1,other,0.029411765,0.966435567,0.696901829,0
14,12,34,40,682,62,74,4,92,101,3,123,51,143,152,2,173,1,192,201,1,other,0.117647059,0.976229779,0.529093365,0
11,36,34,42,5371,61,73,3,93,103,2,122,28,143,152,2,173,1,191,201,1,other,0.470588235,0.718223836,0.48474023,0
14,18,34,43,1582,64,75,4,93,101,4,123,46,143,152,2,173,1,191,201,1,other,0.205882353,0.926708485,0.629319226,0
14,6,32,43,1346,62,75,2,93,101,4,124,42,141,153,1,173,2,192,201,1,other,0.029411765,0.939694068,0.614407287,0
14,10,32,43,1924,61,73,1,93,101,4,122,38,143,152,1,173,1,192,202,1,other,0.088235294,0.907890393,0.557418732,0
13,36,32,43,5848,61,73,4,93,101,1,123,24,143,152,1,173,1,191,201,1,young,0.470588235,0.69197755,0.355826193,1
12,24,34,41,7758,64,75,2,92,101,4,124,29,143,151,1,173,1,191,201,1,other,0.294117647,0.586882359,0.598015505,0
12,24,33,49,6967,62,74,4,93,101,4,123,36,143,151,1,174,1,192,201,1,other,0.294117647,0.630406075,0.520841623,0
11,12,32,42,1282,61,73,2,92,101,4,123,20,143,151,1,173,1,191,201,2,young,0.117647059,0.943215583,0.538455065,1
11,9,34,45,1288,62,75,3,93,103,4,121,48,143,152,2,173,2,191,202,1,other,0.073529412,0.942885441,0.638712841,0
11,12,31,48,339,61,75,4,94,101,1,123,45,141,152,1,172,1,191,201,1,other,0.117647059,0.995102894,0.416325573,0
12,24,32,40,3512,62,74,2,93,101,3,123,38,141,152,2,173,1,192,201,1,other,0.294117647,0.820512821,0.594970009,0
14,6,34,43,1898,65,73,1,93,101,2,121,34,143,152,2,172,2,191,201,1,other,0.029411765,0.909321008,0.476973539,0
14,24,34,43,2872,62,75,3,93,101,4,121,36,143,152,1,173,2,192,201,1,other,0.294117647,0.855727963,0.61702554,0
14,18,34,40,1055,61,72,4,92,101,1,122,30,143,152,2,173,1,191,201,1,other,0.205882353,0.955705954,0.355644336,0
14,15,32,44,1262,63,74,4,93,101,3,122,36,143,152,2,173,1,192,201,1,other,0.161764706,0.944316056,0.531363863,0
12,10,32,40,7308,61,71,2,93,101,4,124,70,141,153,1,174,1,192,201,1,other,0.088235294,0.611643006,0.401527746,0
14,36,32,40,909,63,75,4,93,101,4,122,36,143,152,1,173,1,191,201,1,other,0.470588235,0.963739408,0.638944678,0
14,6,32,42,2978,63,73,1,93,101,2,123,32,143,152,1,173,1,192,201,1,other,0.029411765,0.849895455,0.442661808,0
11,18,32,42,1131,61,71,4,92,101,2,123,33,143,152,1,173,1,191,201,2,other,0.205882353,0.951524155,0.308354699,0
12,11,32,42,1577,64,72,4,92,101,1,121,20,143,152,1,173,1,191,201,1,young,0.102941176,0.926983603,0.284637168,1
14,24,32,42,3972,61,74,2,92,101,4,122,25,143,151,1,173,1,192,201,1,young,0.294117647,0.795201937,0.590261008,0
12,24,34,49,1935,61,75,4,91,101,4,121,31,143,152,2,173,1,192,201,2,other,0.294117647,0.907285133,0.642121447,0
11,15,30,40,950,61,75,4,93,101,3,123,33,143,151,2,173,2,191,201,2,other,0.161764706,0.961483438,0.581069422,0
14,12,32,42,763,61,73,4,92,101,1,121,26,143,152,1,173,1,192,201,1,other,0.117647059,0.971772862,0.34221766,0
12,24,33,42,2064,61,71,3,92,101,2,122,34,143,152,1,174,1,192,201,2,other,0.294117647,0.90018708,0.36948305,0
12,8,32,43,1414,61,73,4,93,103,2,121,33,143,152,1,173,1,191,202,1,other,0.058823529,0.93595246,0.371121114,0
11,21,33,46,3414,61,72,2,93,101,1,122,26,143,152,2,173,1,191,201,2,other,0.25,0.825905139,0.401718786,0
14,30,31,41,7485,65,71,4,92,101,1,121,53,141,152,1,174,1,192,201,2,other,0.382352941,0.601903819,0.252884979,0
11,12,32,42,2577,61,73,2,91,101,1,123,42,143,152,1,173,1,191,201,1,other,0.117647059,0.871959943,0.385663318,0
11,6,34,43,338,63,75,4,93,101,4,123,52,143,152,2,173,1,191,201,1,other,0.029411765,0.995157918,0.609222267,0
14,12,32,43,1963,61,74,4,93,101,2,123,31,143,151,2,174,2,192,201,1,other,0.117647059,0.90574447,0.492724005,0
11,21,34,40,571,61,75,4,93,101,4,121,65,143,152,2,173,1,191,201,1,other,0.25,0.982337405,0.647876727,0
14,36,33,49,9572,61,72,1,91,101,1,123,28,143,152,2,173,1,191,201,2,other,0.470588235,0.48706944,0.410727009,0
12,36,33,49,4455,61,73,2,91,101,2,121,30,142,152,2,174,1,192,201,2,other,0.470588235,0.768625509,0.548380852,0
11,21,31,40,1647,65,73,4,93,101,2,122,40,143,152,2,172,2,191,201,2,other,0.25,0.923131947,0.427559432,0
14,24,34,42,3777,64,73,4,93,101,4,121,50,143,152,1,173,1,192,201,1,other,0.294117647,0.805931551,0.483730083,0
12,18,34,40,884,61,75,4,93,101,4,123,36,141,152,1,173,2,192,201,2,other,0.205882353,0.965114999,0.589952996,0
14,15,34,43,1360,61,73,4,93,101,2,122,31,143,152,2,173,1,191,201,1,other,0.161764706,0.938923737,0.437337385,0
12,9,31,41,5129,61,75,2,92,101,4,124,74,141,153,1,174,2,192,201,2,other,0.073529412,0.731539562,0.607144615,0
12,16,34,40,1175,61,71,2,93,101,3,123,68,143,153,3,171,1,192,201,1,other,0.176470588,0.949103114,0.457471076,0
11,12,32,43,674,62,74,4,94,101,1,122,20,143,152,1,173,1,191,201,2,young,0.117647059,0.976669968,0.389640377,1
12,18,30,42,3244,61,73,1,92,101,4,123,33,141,152,2,173,1,192,201,1,other,0.205882353,0.835259161,0.612305398,0
14,24,32,49,4591,64,73,2,93,101,3,122,54,143,152,3,174,1,192,201,2,other,0.294117647,0.761142291,0.607180144,0
12,48,30,49,3844,62,74,4,93,101,4,124,34,143,153,1,172,2,191,201,2,other,0.647058824,0.802244965,0.571963496,0
12,27,32,49,3915,61,73,4,93,101,2,123,36,143,152,1,173,2,192,201,2,other,0.338235294,0.798338285,0.397502061,0
14,6,32,43,2108,61,74,2,94,101,2,121,29,143,151,1,173,1,191,201,1,other,0.029411765,0.897766039,0.46707184,0
12,45,32,43,3031,62,73,4,93,103,4,122,21,143,151,1,173,1,191,201,2,young,0.602941176,0.846979201,0.548822396,1
12,9,34,46,1501,61,75,2,92,101,3,123,34,143,152,2,174,1,192,201,2,other,0.073529412,0.931165401,0.644284306,0
14,6,34,43,1382,61,73,1,92,101,1,123,28,143,152,2,173,1,192,201,1,other,0.029411765,0.937713217,0.458999997,0
12,12,32,42,951,62,72,4,92,101,4,123,27,141,151,4,173,1,191,201,2,other,0.117647059,0.961428414,0.572851251,0
12,24,32,41,2760,65,75,4,93,101,4,124,36,141,153,1,173,1,192,201,1,other,0.294117647,0.861890613,0.587164327,0
12,18,33,42,4297,61,75,4,91,101,3,124,40,143,152,1,174,1,192,201,2,other,0.205882353,0.777319247,0.531758437,0
14,9,34,46,936,63,75,4,93,101,2,123,52,143,152,2,173,1,192,201,1,other,0.073529412,0.962253769,0.518285243,0
11,12,32,40,1168,61,73,4,94,101,3,121,27,143,152,1,172,1,191,201,1,other,0.117647059,0.94948828,0.407839133,0
14,27,33,49,5117,61,74,3,93,101,4,123,26,143,152,2,173,1,191,201,1,other,0.338235294,0.732199846,0.602251499,0
11,12,32,48,902,61,74,4,94,101,4,122,21,143,151,1,173,1,191,201,2,young,0.117647059,0.964124574,0.526841234,1
14,12,34,40,1495,61,75,4,93,101,1,121,38,143,152,2,172,2,191,201,1,other,0.117647059,0.931495543,0.451003275,0
11,30,34,41,10623,61,75,3,93,101,4,124,38,143,153,3,174,2,192,201,1,other,0.382352941,0.429239573,0.670373801,0
14,12,34,42,1935,61,75,4,93,101,4,121,43,143,152,3,173,1,192,201,1,other,0.117647059,0.907285133,0.655801338,0
12,12,34,44,1424,61,74,4,93,101,3,122,26,143,152,1,173,1,191,201,1,other,0.117647059,0.935402223,0.474985913,0
11,24,32,49,6568,61,73,2,94,101,2,123,21,142,152,1,172,1,191,201,1,young,0.294117647,0.652360515,0.400895162,1
14,12,32,41,1413,64,74,3,93,101,2,122,55,143,152,1,173,1,191,202,1,other,0.117647059,0.936007483,0.459594643,0
