StatusExistingAcc,DurationMonth_x,CreditHistory,Purpose,CreditAmount_x,SavingsAccount,EmploymentLength,InstallmentRate,MarriedNSex,Debtors,ResidenceLength,Property,Age,InstallmentPlans,Housing,ExistingCredit,Job,NumPeopleLiable,Telephone,ForeignWorker,CreditEval,AgeBinary,DurationMonth_y,CreditAmount_y,score,age25,DurationMonth_C,CreditAmount_C,Age_C
11,48,32,9,4308,61,72,3,92,101,4,122,24,143,151,1,173,1,191,201,2,young,0.647058824,0.776713987,0.528453856,1,2,3,1
12,12,32,3,1567,61,73,1,92,101,1,123,22,143,152,1,173,1,192,201,1,young,0.117647059,0.92753384,0.4270104,1,1,1,1
11,24,34,0,1199,61,75,4,93,101,4,123,60,143,152,2,172,1,191,201,2,other,0.294117647,0.947782546,0.626400036,0,1,1,3
11,15,32,0,1403,61,73,2,92,101,4,123,28,143,151,1,173,1,191,201,1,other,0.161764706,0.93655772,0.545424327,0,1,1,1
11,24,32,3,1282,62,73,4,92,101,2,123,32,143,152,1,172,1,191,201,2,other,0.294117647,0.943215583,0.392992229,0,1,1,1
14,24,34,3,2424,65,75,4,93,101,4,122,53,143,152,2,173,1,191,201,1,other,0.294117647,0.880378563,0.637115574,0,1,2,3
11,30,30,9,8072,65,72,2,93,101,3,123,25,141,152,3,173,1,191,201,1,young,0.382352941,0.56960493,0.518193712,0,2,3,1
12,24,32,1,12579,61,75,4,92,101,2,124,44,143,153,1,174,1,192,201,2,other,0.294117647,0.321613294,0.416880175,0,1,3,2
14,24,32,3,3430,63,75,3,93,101,2,123,31,143,152,1,173,2,192,201,1,other,0.294117647,0.825024761,0.51829006,0,1,2,1
14,9,34,0,2134,61,73,4,93,101,4,123,48,143,152,3,173,1,192,201,1,other,0.073529412,0.896335424,0.552532993,0,1,2,2
11,6,32,3,2647,63,73,2,93,101,3,121,44,143,151,1,173,2,191,201,1,other,0.029411765,0.868108287,0.461554118,0,1,2,2
11,10,34,0,2241,61,72,1,93,101,3,121,48,143,151,2,172,2,191,202,1,other,0.088235294,0.890447893,0.484406174,0,1,2,2
12,12,34,1,1804,62,72,3,93,101,4,122,44,143,152,1,173,1,191,201,1,other,0.117647059,0.914493232,0.455591992,0,1,1,2
14,10,34,2,2069,65,73,2,94,101,1,123,26,143,152,2,173,1,191,202,1,other,0.088235294,0.899911962,0.431903366,0,1,2,1
11,6,32,2,1374,61,73,1,93,101,2,121,36,141,152,1,172,1,192,201,1,other,0.029411765,0.938153406,0.435826078,0,1,1,2
14,6,30,3,426,61,75,4,94,101,4,123,39,143,152,1,172,1,191,201,1,other,0.029411765,0.990315836,0.538553972,0,1,1,2
13,12,31,3,409,64,73,3,92,101,3,121,42,143,151,2,173,1,191,201,1,other,0.117647059,0.991251238,0.516384179,0,1,1,2
12,7,32,3,2415,61,73,3,93,103,2,121,34,143,152,1,173,1,191,201,1,other,0.044117647,0.880873776,0.389145691,0,1,2,1
11,60,33,9,6836,61,75,3,93,101,4,124,63,143,152,2,173,1,192,201,2,other,0.823529412,0.637614174,0.72145307,0,3,3,3
12,18,32,9,1913,64,72,3,94,101,3,121,36,141,152,1,173,1,192,201,1,other,0.205882353,0.908495653,0.424380404,0,1,1,2
11,24,32,2,4020,61,73,2,93,101,2,123,27,142,152,1,173,1,191,201,1,other,0.294117647,0.792560801,0.45023475,0,1,3,1
12,18,32,0,5866,62,73,2,93,101,2,123,30,143,152,2,173,1,192,201,1,other,0.205882353,0.690987124,0.461433081,0,1,3,1
14,12,34,9,1264,65,75,4,93,101,4,124,57,143,151,1,172,1,191,201,1,other,0.117647059,0.944206009,0.546391268,0,1,1,3
13,12,32,2,1474,61,72,4,92,101,1,122,33,141,152,1,174,1,192,201,1,other,0.117647059,0.93265104,0.311683367,0,1,1,1
12,45,34,3,4746,61,72,4,93,101,2,122,25,143,152,2,172,1,191,201,2,young,0.602941176,0.752613624,0.41498694,0,2,3,1
14,48,34,6,6110,61,73,1,93,101,3,124,31,141,153,1,173,1,192,201,1,other,0.647058824,0.677561351,0.572022358,0,2,3,1
13,18,32,3,2100,61,73,4,93,102,2,121,37,142,152,1,173,1,191,201,2,other,0.205882353,0.898206229,0.391458341,0,1,2,2
13,10,32,4,1225,61,73,2,93,101,2,123,37,143,152,1,173,1,192,201,1,other,0.088235294,0.946351931,0.44054336,0,1,1,2
12,9,32,3,458,61,73,4,93,101,3,121,24,143,152,1,173,1,191,201,1,young,0.073529412,0.988555079,0.430155254,1,1,1,1
14,30,32,3,2333,63,75,4,93,101,2,123,30,141,152,1,174,1,191,201,1,other,0.382352941,0.885385716,0.538183936,0,2,2,1
12,12,32,3,1158,63,73,3,91,101,1,123,26,143,152,1,173,1,192,201,1,other,0.117647059,0.950038517,0.369181812,0,1,1,1
12,18,33,5,6204,61,73,2,93,101,4,121,44,143,152,1,172,2,192,201,1,other,0.205882353,0.672389127,0.481228803,0,1,3,2
11,30,34,1,6187,62,74,1,94,101,4,123,24,143,151,2,173,1,191,201,1,young,0.382352941,0.67332453,0.66152139,1,2,3,1
11,48,34,1,6143,61,75,4,92,101,4,124,58,142,153,2,172,1,191,201,2,other,0.647058824,0.675745571,0.64145198,0,2,3,3
14,11,34,0,1393,61,72,4,92,101,4,123,35,143,152,2,174,1,191,201,1,other,0.102941176,0.937107956,0.495823094,0,1,1,2
14,36,32,3,2299,63,75,4,93,101,4,123,39,143,152,1,173,1,191,201,1,other,0.470588235,0.88725652,0.624715303,0,2,2,2
11,6,32,1,1352,63,71,1,92,101,2,122,23,143,151,1,171,1,192,201,1,young,0.029411765,0.939363926,0.319772222,1,1,1,1
14,11,34,0,7228,61,73,1,93,101,4,122,39,143,152,2,172,1,191,201,1,other,0.102941176,0.616044899,0.529113689,0,1,3,2
14,12,32,3,2073,62,73,4,92,102,2,121,28,143,152,1,173,1,191,201,1,other,0.117647059,0.899691868,0.37531887,0,1,2,1
12,24,33,2,2333,65,72,4,93,101,2,122,29,141,152,1,172,1,191,201,1,other,0.294117647,0.885385716,0.335721556,0,1,2,1
12,27,33,1,5965,61,75,1,93,101,2,123,30,143,152,2,174,1,192,201,1,other,0.338235294,0.685539782,0.632330247,0,2,3,1
14,12,32,3,1262,61,73,3,93,101,2,123,25,143,152,1,173,1,191,201,1,young,0.117647059,0.944316056,0.414628797,0,1,1,1
14,18,32,1,3378,65,73,2,93,101,1,122,31,143,152,1,173,1,192,201,1,other,0.205882353,0.827885991,0.393879382,0,1,2,1
12,36,33,0,2225,61,75,4,93,101,4,124,57,141,153,2,173,1,192,201,2,other,0.470588235,0.891328271,0.671984466,0,2,2,3
14,6,31,0,783,65,73,1,93,103,2,121,26,142,152,1,172,2,191,201,1,other,0.029411765,0.970672389,0.441876122,0,1,1,1
12,12,32,3,6468,65,71,2,93,101,1,124,52,143,152,1,174,1,192,201,2,other,0.117647059,0.657862881,0.276063865,0,1,3,3
14,36,34,3,9566,61,73,2,92,101,2,123,31,142,152,2,173,1,191,201,1,other,0.470588235,0.487399582,0.472803935,0,2,3,1
13,18,32,0,1961,61,75,3,92,101,2,123,23,143,152,1,174,1,191,201,1,young,0.205882353,0.905854517,0.5401681,1,1,1,1
11,36,34,2,6229,61,72,4,92,102,4,124,23,143,151,2,172,1,192,201,2,young,0.470588235,0.671013536,0.468204981,1,2,3,1
12,9,32,9,1391,61,73,2,94,101,1,121,27,141,152,1,173,1,192,201,1,other,0.073529412,0.937218004,0.389596418,0,1,1,1
12,15,34,3,1537,65,75,4,93,103,4,121,50,143,152,2,173,1,192,201,1,other,0.161764706,0.929184549,0.621571954,0,1,1,3
12,36,30,9,1953,61,75,4,93,101,4,124,61,143,153,1,174,1,192,201,2,other,0.470588235,0.906294707,0.651513105,0,2,1,3
12,48,30,9,14421,61,73,2,93,101,2,123,25,143,152,1,173,1,192,201,2,young,0.647058824,0.220259712,0.409423603,0,2,3,1
14,24,32,3,3181,61,72,4,92,101,4,122,26,143,152,1,173,1,192,201,1,other,0.294117647,0.838725652,0.443319684,0,1,2,1
14,27,32,5,5190,65,75,4,93,101,4,122,48,143,152,4,173,2,192,201,1,other,0.338235294,0.728183119,0.710031333,0,2,3,2
14,12,32,3,2171,61,72,2,92,101,2,123,29,141,152,1,173,1,191,201,1,other,0.117647059,0.894299549,0.389819524,0,1,2,1
12,12,32,0,1007,64,73,4,94,101,1,121,22,143,152,1,173,1,191,201,1,young,0.117647059,0.958347089,0.339719842,1,1,1,1
14,36,32,6,1819,61,73,4,93,101,4,124,37,142,153,1,173,1,192,201,2,other,0.470588235,0.913667877,0.536605788,0,2,1,2
14,36,32,3,2394,65,73,4,92,101,4,123,25,143,152,1,173,1,191,201,1,young,0.470588235,0.882029273,0.530719536,0,2,2,1
14,36,32,1,8133,61,73,1,92,101,2,122,30,141,152,1,173,1,191,201,1,other,0.470588235,0.566248487,0.471969623,0,2,3,1
14,7,34,3,730,65,75,4,93,101,2,122,46,143,151,2,172,1,192,201,1,other,0.044117647,0.973588643,0.491666287,0,1,1,2
11,8,34,10,1164,61,75,3,93,101,4,124,51,141,153,2,174,2,192,201,1,other,0.058823529,0.949708375,0.66050206,0,1,1,3
12,42,34,9,5954,61,74,2,92,101,1,121,41,141,152,2,172,1,191,201,1,other,0.558823529,0.686145042,0.502939889,0,2,3,2
11,36,32,6,1977,65,75,4,93,101,4,124,40,143,152,1,174,1,192,201,2,other,0.470588235,0.904974139,0.651267418,0,2,1,2
11,12,34,1,1526,61,75,4,93,101,4,124,66,143,153,2,174,1,191,201,1,other,0.117647059,0.92978981,0.636732441,0,1,1,3
11,42,32,3,3965,61,72,4,93,101,3,123,34,143,152,1,173,1,191,201,2,other,0.558823529,0.795587102,0.438029885,0,2,2,1
12,11,33,3,4771,61,74,2,93,101,4,122,51,143,152,1,173,1,191,201,1,other,0.102941176,0.751238032,0.546513961,0,1,3,3
14,54,30,1,9436,65,73,2,93,101,2,122,39,143,152,1,172,2,191,201,1,other,0.735294118,0.494552658,0.453614904,0,3,3,2
12,30,32,2,3832,61,72,2,94,101,1,122,22,143,152,1,173,1,191,201,1,young,0.382352941,0.802905249,0.375551911,1,2,2,1
14,24,32,3,5943,65,72,1,92,101,1,123,44,143,152,2,173,1,192,201,2,other,0.294117647,0.686750303,0.4150452,0,1,3,2
14,15,32,3,1213,63,75,4,93,101,3,122,47,142,152,1,173,1,192,201,1,other,0.161764706,0.947012215,0.531865474,0,1,1,2
14,18,32,9,1568,62,73,3,92,101,4,122,24,143,151,1,172,1,191,201,1,young,0.205882353,0.927478816,0.497679597,1,1,1,1
11,24,32,10,1755,61,75,4,92,103,4,121,58,143,152,1,172,1,192,201,1,other,0.294117647,0.917189391,0.574196658,0,1,1,3
11,10,32,3,2315,61,75,3,93,101,4,121,52,143,152,1,172,1,191,201,1,other,0.088235294,0.886376142,0.561168019,0,1,2,3
14,12,34,9,1412,61,73,4,92,103,2,121,29,143,152,2,174,1,192,201,1,other,0.117647059,0.936062507,0.451852942,0,1,1,1
12,18,34,2,1295,61,72,4,92,101,1,122,27,143,152,2,173,1,191,201,1,other,0.205882353,0.942500275,0.353187466,0,1,1,1
12,36,32,6,12612,62,73,1,93,101,4,124,47,143,153,1,173,2,192,201,2,other,0.470588235,0.319797513,0.519141535,0,2,3,2
11,18,32,0,2249,62,74,4,93,101,3,123,30,143,152,1,174,2,192,201,1,other,0.205882353,0.890007703,0.506212103,0,1,2,1
11,12,30,5,1108,61,74,4,93,101,3,121,28,143,152,2,173,1,191,201,2,other,0.117647059,0.9527897,0.52473242,0,1,1,1
14,12,34,3,618,61,75,4,93,101,4,121,56,143,152,1,173,1,191,201,1,other,0.117647059,0.979751293,0.576260158,0,1,1,3
11,12,34,1,1409,61,75,4,93,101,3,121,54,143,152,1,173,1,191,201,1,other,0.117647059,0.936227578,0.521651095,0,1,1,3
14,12,34,3,797,65,75,4,92,101,3,122,33,141,152,1,172,2,191,201,2,other,0.117647059,0.969902058,0.504660301,0,1,1,1
13,24,34,2,3617,65,75,4,93,102,4,124,20,143,151,2,173,1,191,201,1,young,0.294117647,0.814735336,0.624902881,1,1,2,1
12,12,32,0,1318,64,75,4,93,101,4,121,54,143,152,1,173,1,192,201,1,other,0.117647059,0.941234731,0.569094286,0,1,1,3
12,54,30,9,15945,61,72,3,93,101,4,124,58,143,151,1,173,1,192,201,2,other,0.735294118,0.136403654,0.425742221,0,3,3,3
14,12,34,6,2012,65,74,4,92,101,2,123,61,143,152,1,173,1,191,201,1,other,0.117647059,0.903048311,0.422454952,0,1,2,3
12,18,32,9,2622,62,73,4,93,101,4,123,34,143,152,1,173,1,191,201,1,other,0.205882353,0.869483878,0.479137903,0,1,2,1
12,36,34,3,2337,61,75,4,93,101,4,121,36,143,152,1,173,1,191,201,1,other,0.470588235,0.885165621,0.624326299,0,2,2,2
12,20,33,1,7057,65,74,3,93,101,4,122,36,141,151,2,174,2,192,201,1,other,0.235294118,0.625453945,0.586495764,0,1,3,2
14,24,32,0,1469,62,75,4,94,101,4,121,41,143,151,1,172,1,191,201,1,other,0.294117647,0.932926158,0.577124429,0,1,1,2
12,36,32,3,2323,61,74,4,93,101,4,123,24,143,151,1,173,1,191,201,1,young,0.470588235,0.885935952,0.577957988,1,2,2,1
14,6,33,3,932,61,73,3,92,101,2,121,24,143,152,1,173,1,191,201,1,young,0.029411765,0.962473864,0.401591125,1,1,1,1
12,9,34,2,1919,61,74,4,93,101,3,123,35,143,151,1,173,1,192,201,1,other,0.073529412,0.908165511,0.461710683,0,1,1,2
14,12,32,1,2445,65,72,2,94,101,4,123,26,143,151,1,173,1,192,201,1,other,0.117647059,0.879223066,0.480037853,0,1,2,1
12,24,34,10,11938,61,73,2,93,102,3,123,39,143,152,2,174,2,192,201,2,other,0.294117647,0.35688346,0.48545757,0,1,3,2
14,18,31,0,6458,61,75,2,93,101,4,124,39,141,152,2,174,2,192,201,2,other,0.205882353,0.658413118,0.664675126,0,1,3,2
12,12,32,0,6078,61,74,2,93,101,2,123,32,143,152,1,173,1,191,201,1,other,0.117647059,0.679322109,0.442846977,0,1,3,1
11,24,32,2,7721,65,72,1,92,101,2,122,30,143,152,1,173,1,192,202,1,other,0.294117647,0.588918235,0.396843885,0,1,3,1
12,14,32,9,1410,63,75,1,94,101,2,121,35,143,152,1,173,1,192,201,1,other,0.147058824,0.936172554,0.573624442,0,1,1,2
12,6,33,9,1449,62,75,1,91,101,2,123,31,141,152,2,173,2,191,201,1,other,0.029411765,0.934026631,0.597849004,0,1,1,1
13,15,32,6,392,61,72,4,92,101,4,122,23,143,151,1,173,1,192,201,1,young,0.161764706,0.99218664,0.447246762,1,1,1,1
12,18,32,0,6260,61,74,3,93,101,3,121,28,143,151,1,172,1,191,201,1,other,0.205882353,0.669307802,0.449647781,0,1,3,1
14,36,34,0,7855,61,73,4,92,101,2,121,25,142,152,2,173,1,192,201,2,young,0.470588235,0.581545064,0.42830387,0,2,3,1
11,12,32,3,1680,63,75,3,94,101,1,121,35,143,152,1,173,1,191,201,1,other,0.117647059,0.921316166,0.456861375,0,1,1,2
14,48,34,3,3578,65,75,4,93,101,1,121,47,143,152,1,173,1,192,201,1,other,0.647058824,0.816881259,0.504919085,0,2,2,2
11,42,32,3,7174,65,74,4,92,101,3,123,30,143,152,1,174,1,192,201,2,other,0.558823529,0.619016177,0.52145855,0,2,3,1
11,10,34,2,2132,65,72,2,92,102,3,121,27,143,151,2,173,1,191,202,1,other,0.088235294,0.896445472,0.477770065,0,1,2,1
11,33,34,2,4281,63,73,1,92,101,4,123,23,143,152,2,173,1,191,201,2,young,0.426470588,0.778199626,0.642729342,1,2,3,1
12,12,34,0,2366,63,74,3,91,101,3,123,36,143,152,1,174,1,192,201,1,other,0.117647059,0.883569935,0.519606262,0,1,2,2
11,21,32,3,1835,61,73,3,92,101,2,121,25,143,152,2,173,1,192,201,2,young,0.25,0.912787499,0.479898449,0,1,1,1
14,24,34,1,3868,61,75,4,92,101,2,123,41,143,151,2,174,1,192,201,1,other,0.294117647,0.800924397,0.552565962,0,1,2,2
14,12,32,2,1768,61,73,3,93,101,2,121,24,143,151,1,172,1,191,201,1,young,0.117647059,0.916474084,0.386193081,1,1,1,1
13,10,34,0,781,61,75,4,93,101,4,124,63,143,153,2,173,1,192,201,1,other,0.088235294,0.970782436,0.615631206,0,1,1,3
12,18,32,2,1924,65,72,4,92,101,3,121,27,143,151,1,173,1,191,201,2,other,0.205882353,0.907890393,0.393260046,0,1,1,1
11,12,34,0,2121,61,73,4,93,101,2,122,30,143,152,2,173,1,191,201,1,other,0.117647059,0.897050732,0.421339124,0,1,2,1
11,12,32,3,701,61,73,4,94,101,2,121,40,143,152,1,172,1,191,201,1,other,0.117647059,0.975184329,0.366108165,0,1,1,2
12,12,32,5,639,61,73,4,93,101,2,123,30,143,152,1,173,1,191,201,2,other,0.117647059,0.978595796,0.389998671,0,1,1,1
12,12,34,1,1860,61,71,4,93,101,2,123,34,143,152,2,174,1,192,201,1,other,0.117647059,0.911411907,0.354243529,0,1,1,1
11,12,34,0,3499,61,73,3,92,102,2,121,29,143,152,2,173,1,191,201,2,other,0.117647059,0.821228128,0.438240345,0,1,2,1
12,48,32,0,8487,65,74,1,92,101,2,123,24,143,152,1,173,1,191,201,1,young,0.647058824,0.546770111,0.547689104,1,2,3,1
11,36,33,6,6887,61,73,4,93,101,3,122,29,142,152,1,173,1,192,201,2,other,0.470588235,0.634807967,0.438213247,0,2,3,1
14,15,32,2,2708,61,72,2,93,101,3,122,27,141,152,2,172,1,191,201,1,other,0.161764706,0.864751843,0.462297653,0,1,2,1
14,18,32,2,1984,61,73,4,93,101,4,124,47,141,153,2,173,1,191,201,1,other,0.205882353,0.904588973,0.532180712,0,1,1,2
14,60,32,3,10144,62,74,2,92,101,4,121,21,143,152,1,173,1,192,201,1,young,0.823529412,0.455595906,0.625573703,1,3,3,1
14,12,34,3,1240,65,75,4,92,101,2,121,38,143,152,2,173,1,192,201,1,other,0.117647059,0.945526576,0.523381141,0,1,1,2
14,27,33,1,8613,64,73,2,93,101,2,123,27,143,152,2,173,1,191,201,1,other,0.338235294,0.53983713,0.457935955,0,2,3,1
12,12,32,3,766,63,73,4,93,101,3,121,66,143,152,1,172,1,191,201,2,other,0.117647059,0.971607791,0.411954391,0,1,1,3
12,15,34,3,2728,65,74,4,93,103,2,121,35,141,152,3,173,1,192,201,1,other,0.161764706,0.86365137,0.516356479,0,1,2,2
13,12,32,3,1881,61,73,2,92,101,2,123,44,143,151,1,172,1,192,201,1,other,0.117647059,0.91025641,0.416044056,0,1,1,2
13,6,32,0,709,64,72,2,94,101,2,121,27,143,152,1,171,1,191,202,1,other,0.029411765,0.97474414,0.341858463,0,1,1,1
12,36,32,3,4795,61,72,4,92,101,1,124,30,143,152,1,174,1,192,201,1,other,0.470588235,0.749917465,0.343349898,0,2,3,1
11,27,32,3,3416,61,73,3,93,101,2,123,27,143,152,1,174,1,191,201,1,other,0.338235294,0.825795092,0.45687387,0,2,2,1
11,18,32,2,2462,61,73,2,93,101,2,123,22,143,152,1,173,1,191,201,2,young,0.205882353,0.878287664,0.449768065,1,1,2,1
14,21,34,2,2288,61,72,4,92,101,4,122,23,143,152,1,173,1,192,201,1,young,0.25,0.887861781,0.444253355,1,1,2,1
12,48,31,9,3566,62,74,4,93,101,2,123,30,143,152,1,173,1,191,201,1,other,0.647058824,0.817541543,0.505041929,0,2,2,1
11,6,34,0,860,61,75,1,92,101,4,124,39,143,152,2,173,1,192,201,1,other,0.029411765,0.966435567,0.696901829,0,1,1,2
14,12,34,0,682,62,74,4,92,101,3,123,51,143,152,2,173,1,192,201,1,other,0.117647059,0.976229779,0.529093365,0,1,1,3
11,36,34,2,5371,61,73,3,93,103,2,122,28,143,152,2,173,1,191,201,1,other,0.470588235,0.718223836,0.48474023,0,2,3,1
14,18,34,3,1582,64,75,4,93,101,4,123,46,143,152,2,173,1,191,201,1,other,0.205882353,0.926708485,0.629319226,0,1,1,2
14,6,32,3,1346,62,75,2,93,101,4,124,42,141,153,1,173,2,192,201,1,other,0.029411765,0.939694068,0.614407287,0,1,1,2
14,10,32,3,1924,61,73,1,93,101,4,122,38,143,152,1,173,1,192,202,1,other,0.088235294,0.907890393,0.557418732,0,1,1,2
13,36,32,3,5848,61,73,4,93,101,1,123,24,143,152,1,173,1,191,201,1,young,0.470588235,0.69197755,0.355826193,1,2,3,1
12,24,34,1,7758,64,75,2,92,101,4,124,29,143,151,1,173,1,191,201,1,other,0.294117647,0.586882359,0.598015505,0,1,3,1
12,24,33,9,6967,62,74,4,93,101,4,123,36,143,151,1,174,1,192,201,1,other,0.294117647,0.630406075,0.520841623,0,1,3,2
11,12,32,2,1282,61,73,2,92,101,4,123,20,143,151,1,173,1,191,201,2,young,0.117647059,0.943215583,0.538455065,1,1,1,1
11,9,34,5,1288,62,75,3,93,103,4,121,48,143,152,2,173,2,191,202,1,other,0.073529412,0.942885441,0.638712841,0,1,1,2
11,12,31,8,339,61,75,4,94,101,1,123,45,141,152,1,172,1,191,201,1,other,0.117647059,0.995102894,0.416325573,0,1,1,2
12,24,32,0,3512,62,74,2,93,101,3,123,38,141,152,2,173,1,192,201,1,other,0.294117647,0.820512821,0.594970009,0,1,2,2
14,6,34,3,1898,65,73,1,93,101,2,121,34,143,152,2,172,2,191,201,1,other,0.029411765,0.909321008,0.476973539,0,1,1,1
14,24,34,3,2872,62,75,3,93,101,4,121,36,143,152,1,173,2,192,201,1,other,0.294117647,0.855727963,0.61702554,0,1,2,2
14,18,34,0,1055,61,72,4,92,101,1,122,30,143,152,2,173,1,191,201,1,other,0.205882353,0.955705954,0.355644336,0,1,1,1
14,15,32,4,1262,63,74,4,93,101,3,122,36,143,152,2,173,1,192,201,1,other,0.161764706,0.944316056,0.531363863,0,1,1,2
12,10,32,0,7308,61,71,2,93,101,4,124,70,141,153,1,174,1,192,201,1,other,0.088235294,0.611643006,0.401527746,0,1,3,3
14,36,32,0,909,63,75,4,93,101,4,122,36,143,152,1,173,1,191,201,1,other,0.470588235,0.963739408,0.638944678,0,2,1,2
14,6,32,2,2978,63,73,1,93,101,2,123,32,143,152,1,173,1,192,201,1,other,0.029411765,0.849895455,0.442661808,0,1,2,1
11,18,32,2,1131,61,71,4,92,101,2,123,33,143,152,1,173,1,191,201,2,other,0.205882353,0.951524155,0.308354699,0,1,1,1
12,11,32,2,1577,64,72,4,92,101,1,121,20,143,152,1,173,1,191,201,1,young,0.102941176,0.926983603,0.284637168,1,1,1,1
14,24,32,2,3972,61,74,2,92,101,4,122,25,143,151,1,173,1,192,201,1,young,0.294117647,0.795201937,0.590261008,0,1,2,1
12,24,34,9,1935,61,75,4,91,101,4,121,31,143,152,2,173,1,192,201,2,other,0.294117647,0.907285133,0.642121447,0,1,1,1
11,15,30,0,950,61,75,4,93,101,3,123,33,143,151,2,173,2,191,201,2,other,0.161764706,0.961483438,0.581069422,0,1,1,1
14,12,32,2,763,61,73,4,92,101,1,121,26,143,152,1,173,1,192,201,1,other,0.117647059,0.971772862,0.34221766,0,1,1,1
12,24,33,2,2064,61,71,3,92,101,2,122,34,143,152,1,174,1,192,201,2,other,0.294117647,0.90018708,0.36948305,0,1,2,1
12,8,32,3,1414,61,73,4,93,103,2,121,33,143,152,1,173,1,191,202,1,other,0.058823529,0.93595246,0.371121114,0,1,1,1
11,21,33,6,3414,61,72,2,93,101,1,122,26,143,152,2,173,1,191,201,2,other,0.25,0.825905139,0.401718786,0,1,2,1
14,30,31,1,7485,65,71,4,92,101,1,121,53,141,152,1,174,1,192,201,2,other,0.382352941,0.601903819,0.252884979,0,2,3,3
11,12,32,2,2577,61,73,2,91,101,1,123,42,143,152,1,173,1,191,201,1,other,0.117647059,0.871959943,0.385663318,0,1,2,2
11,6,34,3,338,63,75,4,93,101,4,123,52,143,152,2,173,1,191,201,1,other,0.029411765,0.995157918,0.609222267,0,1,1,3
14,12,32,3,1963,61,74,4,93,101,2,123,31,143,151,2,174,2,192,201,1,other,0.117647059,0.90574447,0.492724005,0,1,1,1
11,21,34,0,571,61,75,4,93,101,4,121,65,143,152,2,173,1,191,201,1,other,0.25,0.982337405,0.647876727,0,1,1,3
14,36,33,9,9572,61,72,1,91,101,1,123,28,143,152,2,173,1,191,201,2,other,0.470588235,0.48706944,0.410727009,0,2,3,1
12,36,33,9,4455,61,73,2,91,101,2,121,30,142,152,2,174,1,192,201,2,other,0.470588235,0.768625509,0.548380852,0,2,3,1
11,21,31,0,1647,65,73,4,93,101,2,122,40,143,152,2,172,2,191,201,2,other,0.25,0.923131947,0.427559432,0,1,1,2
14,24,34,2,3777,64,73,4,93,101,4,121,50,143,152,1,173,1,192,201,1,other,0.294117647,0.805931551,0.483730083,0,1,2,3
12,18,34,0,884,61,75,4,93,101,4,123,36,141,152,1,173,2,192,201,2,other,0.205882353,0.965114999,0.589952996,0,1,1,2
14,15,34,3,1360,61,73,4,93,101,2,122,31,143,152,2,173,1,191,201,1,other,0.161764706,0.938923737,0.437337385,0,1,1,1
12,9,31,1,5129,61,75,2,92,101,4,124,74,141,153,1,174,2,192,201,2,other,0.073529412,0.731539562,0.607144615,0,1,3,3
12,16,34,0,1175,61,71,2,93,101,3,123,68,143,153,3,171,1,192,201,1,other,0.176470588,0.949103114,0.457471076,0,1,1,3
11,12,32,3,674,62,74,4,94,101,1,122,20,143,152,1,173,1,191,201,2,young,0.117647059,0.976669968,0.389640377,1,1,1,1
12,18,30,2,3244,61,73,1,92,101,4,123,33,141,152,2,173,1,192,201,1,other,0.205882353,0.835259161,0.612305398,0,1,2,1
14,24,32,9,4591,64,73,2,93,101,3,122,54,143,152,3,174,1,192,201,2,other,0.294117647,0.761142291,0.607180144,0,1,3,3
12,48,30,9,3844,62,74,4,93,101,4,124,34,143,153,1,172,2,191,201,2,other,0.647058824,0.802244965,0.571963496,0,2,2,1
