StatusExistingAcc,DurationMonth_C,CreditHistory,Purpose,CreditAmount_C,SavingsAccount,EmploymentLength,InstallmentRate,MarriedNSex,Debtors,ResidenceLength,Property,Age_C,InstallmentPlans,Housing,ExistingCredit,Job,NumPeopleLiable,Telephone,ForeignWorker,score
13,2,33,9,1,61,75,4,93,101,4,121,3,143,152,1,174,1,192,201,0.6355579
12,1,34,3,1,61,75,3,92,103,4,121,2,141,151,2,172,1,192,201,0.634890691
13,1,32,0,1,62,75,1,92,101,4,124,2,143,153,1,172,2,191,201,0.634188255
14,1,34,1,2,64,75,3,93,101,4,124,1,143,151,2,173,1,192,201,0.633835833
12,2,33,1,3,61,75,1,93,101,2,123,1,143,152,2,174,1,192,201,0.632330247
14,1,34,0,3,65,75,1,92,101,4,123,3,143,152,1,173,1,192,201,0.632172327
14,2,33,2,3,63,74,2,92,101,4,123,2,143,152,2,173,1,192,201,0.631666199
11,1,34,1,2,61,75,4,93,101,4,122,3,143,152,2,173,1,192,201,0.631659274
14,2,34,9,3,65,75,4,93,101,4,121,2,143,152,2,173,1,191,201,0.630227906
12,1,33,0,2,61,73,1,91,101,4,122,2,143,152,2,173,1,191,201,0.629634464
14,1,34,3,1,64,75,4,93,101,4,123,2,143,152,2,173,1,191,201,0.629319226
14,1,32,0,3,63,75,1,92,101,4,124,2,143,153,1,173,1,191,201,0.629316215
11,1,34,0,2,61,75,2,93,103,4,122,2,141,151,1,173,1,192,201,0.628673996
11,1,34,0,1,61,75,4,93,101,4,123,3,143,152,2,172,1,191,201,0.626400036
14,3,32,3,3,62,74,2,92,101,4,121,1,143,152,1,173,1,192,201,0.625573703
12,1,32,3,3,65,75,2,92,101,4,123,2,143,152,1,173,1,192,201,0.625389136
13,1,34,2,2,65,75,4,93,102,4,124,1,143,151,2,173,1,191,201,0.624902881
11,2,32,0,3,61,75,4,93,101,4,124,2,141,153,1,174,1,191,201,0.624868105
13,1,32,3,1,62,75,2,91,101,4,121,2,143,152,1,173,1,191,201,0.624867352
14,2,32,3,2,63,75,4,93,101,4,123,2,143,152,1,173,1,191,201,0.624715303
12,2,34,3,2,61,75,4,93,101,4,121,2,143,152,1,173,1,191,201,0.624326299
14,1,34,3,1,63,75,4,93,101,4,122,2,143,152,2,173,2,192,201,0.623754535
13,1,32,2,1,65,75,3,92,101,4,121,3,143,152,1,174,1,192,201,0.622272735
11,2,32,1,3,61,74,4,93,101,4,124,2,142,153,3,173,2,192,201,0.622183462
11,1,34,2,1,61,75,4,93,101,4,123,2,143,152,2,173,2,192,201,0.622175935
12,1,34,3,1,65,75,4,93,103,4,121,3,143,152,2,173,1,192,201,0.621571954
12,1,32,8,1,65,75,4,93,101,4,122,2,143,152,2,173,1,191,201,0.62137956
11,2,31,2,2,61,75,4,93,101,4,123,1,141,152,1,173,1,191,201,0.620139382
12,1,34,0,1,61,75,3,93,103,3,121,1,141,152,2,173,1,191,201,0.619199991
14,1,34,3,1,65,75,4,93,101,4,123,2,143,152,2,173,1,191,201,0.619106955
12,1,30,1,3,62,75,3,94,101,4,123,1,141,152,2,173,1,192,201,0.619056974
14,1,34,0,1,61,75,3,93,101,4,121,1,143,152,2,172,2,191,202,0.618776512
14,1,34,3,1,61,75,4,93,101,4,123,2,143,152,2,173,1,192,201,0.618582762
11,1,32,3,1,65,74,2,94,101,4,123,1,143,151,2,172,1,191,201,0.617943404
11,2,31,9,3,61,74,2,92,103,4,123,2,143,151,1,173,1,191,201,0.61791465
13,1,34,9,1,64,73,2,91,101,4,121,2,143,152,2,173,1,192,201,0.617870089
13,2,34,3,2,65,75,4,93,101,4,122,2,142,152,2,172,1,191,201,0.617663694
14,1,32,2,2,63,75,3,93,101,4,122,3,143,152,1,173,1,191,201,0.617404307
12,2,33,6,3,61,75,4,93,101,4,124,3,143,153,1,173,1,191,201,0.617366973
14,1,34,3,2,62,75,3,93,101,4,121,2,143,152,1,173,2,192,201,0.61702554
13,1,32,2,2,61,75,3,91,101,4,124,3,143,153,1,173,1,191,201,0.616820801
14,1,34,3,1,63,75,4,93,101,3,122,1,141,152,2,174,1,192,201,0.615819235
14,3,33,3,3,61,74,2,93,101,4,123,1,143,152,2,173,1,192,201,0.615689918
13,1,34,0,1,61,75,4,93,101,4,124,3,143,153,2,173,1,192,201,0.615631206
13,2,34,1,3,61,75,4,93,101,4,124,3,143,153,1,173,1,191,201,0.615569483
11,1,32,1,3,65,75,1,93,101,4,122,3,143,153,1,173,2,192,201,0.615135917
14,1,32,3,1,62,75,2,93,101,4,124,2,141,153,1,173,2,192,201,0.614407287
14,1,34,3,3,61,75,3,93,101,4,123,1,143,152,2,173,1,192,201,0.614383501
14,1,32,3,2,63,75,3,93,101,4,123,2,143,152,1,173,1,191,201,0.613570265
14,1,33,5,1,64,75,4,93,101,4,124,3,143,153,2,173,2,191,201,0.613179755
14,2,32,3,1,65,75,4,93,101,4,123,3,143,152,1,173,1,192,201,0.612721801
14,1,33,0,2,61,75,4,93,101,4,123,2,143,152,2,172,2,191,201,0.612692747
11,1,32,0,3,61,75,1,91,101,4,122,2,143,152,1,174,1,192,202,0.612430199
12,1,30,2,2,61,73,1,92,101,4,123,1,141,152,2,173,1,192,201,0.612305398
14,2,34,0,2,61,74,4,93,101,4,123,2,143,152,2,173,1,192,201,0.612062421
14,1,32,1,2,61,75,4,93,101,4,123,2,143,152,1,174,1,192,201,0.611341468
11,1,34,0,3,61,75,3,93,102,4,122,2,143,151,2,173,1,192,201,0.610528382
14,1,34,2,2,61,75,2,93,101,4,122,2,142,152,1,173,1,191,201,0.61050279
11,1,34,3,1,63,75,4,93,101,4,123,3,143,152,2,173,1,191,201,0.609222267
11,1,32,2,1,65,75,2,91,101,4,122,2,143,152,1,172,1,192,201,0.608427246
14,1,32,9,3,64,73,2,93,101,3,122,3,143,152,3,174,1,192,201,0.607180144
12,1,31,1,3,61,75,2,92,101,4,124,3,141,153,1,174,2,192,201,0.607144615
14,2,32,3,3,65,74,2,94,101,4,122,1,143,151,1,173,1,192,201,0.606811764
11,1,34,0,2,61,74,1,93,101,4,121,2,143,152,2,172,1,191,202,0.606624939
14,1,34,3,1,65,75,4,93,101,4,124,2,143,153,2,173,1,191,201,0.605516487
14,1,32,1,2,65,75,4,93,101,4,121,2,143,152,1,174,1,192,201,0.605119504
14,1,32,1,3,65,75,3,93,101,4,123,2,143,152,1,174,2,192,201,0.605055974
14,1,34,1,3,65,74,3,93,101,4,122,2,143,152,2,173,1,192,201,0.605048297
14,1,32,6,2,65,75,1,93,101,4,121,3,143,152,1,172,1,191,201,0.604918076
14,2,34,1,3,61,75,2,93,101,2,122,2,143,152,2,173,2,192,201,0.60394963
14,1,30,0,3,65,73,1,92,101,4,122,1,141,152,2,173,1,192,201,0.60250652
14,2,33,9,3,61,74,3,93,101,4,123,1,143,152,2,173,1,191,201,0.602251499
11,1,34,3,1,61,74,4,92,101,3,121,3,143,152,4,172,1,192,201,0.601901184
13,2,34,3,2,61,75,4,93,101,4,122,2,143,152,1,173,1,191,201,0.600949297
11,1,34,3,1,65,75,4,93,101,4,121,3,143,152,2,173,1,192,201,0.600715353
12,1,32,5,1,61,75,4,93,101,4,123,2,143,152,2,172,1,191,201,0.600660404
11,1,32,0,1,61,74,4,92,101,4,123,1,143,151,2,173,1,191,201,0.600656641
11,2,32,2,3,61,74,2,93,103,4,122,2,143,153,1,173,2,191,201,0.5994821
11,1,32,3,1,61,75,4,92,101,4,123,3,143,152,1,173,1,191,201,0.59900849
12,1,34,1,3,64,75,2,92,101,4,124,1,143,151,1,173,1,191,201,0.598015505
12,1,33,9,1,62,75,1,91,101,2,123,1,141,152,2,173,2,191,201,0.597849004
14,1,34,0,1,64,75,4,93,101,4,121,3,143,152,1,173,1,192,201,0.595558635
12,1,32,3,1,61,75,4,92,101,4,123,1,143,152,1,173,1,192,201,0.595282237
12,1,32,0,2,62,74,2,93,101,3,123,2,141,152,2,173,1,192,201,0.594970009
13,1,32,6,1,61,75,4,93,101,4,123,2,143,151,1,174,1,192,201,0.594548939
11,2,32,0,2,61,74,4,93,101,4,124,2,143,153,1,173,2,191,201,0.594328694
11,2,32,1,3,65,75,3,93,101,4,124,2,143,153,1,173,1,191,201,0.593932765
11,1,32,2,2,61,74,1,92,101,4,123,1,143,151,1,172,1,191,201,0.593623398
12,1,34,2,2,61,75,3,92,101,4,122,2,143,152,1,173,1,192,201,0.593034321
14,1,34,0,1,61,75,4,93,101,4,121,3,143,152,2,172,1,191,201,0.592995029
14,1,34,1,2,65,74,4,93,101,4,123,2,143,152,2,173,2,192,201,0.592927736
11,2,30,2,3,61,73,3,93,101,4,124,3,143,153,2,173,2,191,201,0.592701017
11,1,34,3,1,61,74,1,92,101,4,123,1,143,152,1,173,1,191,201,0.592648628
14,1,32,2,2,65,74,1,92,101,4,121,1,141,151,1,172,1,191,201,0.591672353
14,1,33,3,1,65,75,3,93,101,4,124,2,143,153,1,173,1,191,201,0.591253993
11,1,34,0,1,61,75,4,94,101,3,123,1,143,152,2,173,1,192,201,0.590810793
11,1,34,2,2,61,75,3,93,101,3,122,3,143,152,2,173,1,191,201,0.590602139
14,1,32,2,2,61,74,2,92,101,4,122,1,143,151,1,173,1,192,201,0.590261008
12,1,34,0,1,61,75,4,93,101,4,123,2,141,152,1,173,2,192,201,0.589952996
11,2,32,2,2,61,75,2,93,101,2,122,2,141,152,1,173,2,191,201,0.589479687
14,1,34,3,2,61,75,4,94,102,3,121,2,143,152,2,173,1,191,201,0.588689634
11,2,32,4,2,61,73,3,93,101,4,123,3,143,152,1,173,1,191,201,0.587833343
14,1,32,0,2,63,75,2,93,101,4,124,3,143,153,1,172,1,191,201,0.587474297
11,1,34,0,1,61,75,4,93,101,4,121,2,143,152,2,172,1,191,201,0.587415284
12,1,32,1,2,65,75,4,93,101,4,124,2,141,153,1,173,1,192,201,0.587164327
14,1,31,3,1,63,75,2,93,101,4,122,2,141,152,1,172,2,191,201,0.587015741
12,1,32,3,1,61,75,4,93,101,4,123,1,143,152,2,172,1,191,201,0.586558089
14,1,32,0,1,61,75,4,93,101,4,123,2,143,152,1,174,1,192,201,0.586555981
13,1,32,3,2,65,75,2,93,101,3,123,2,143,152,1,174,1,191,201,0.586550863
12,1,33,1,3,65,74,3,93,101,4,122,2,141,151,2,174,2,192,201,0.586495764
12,1,32,6,1,61,74,4,92,101,4,122,3,143,152,2,174,1,192,201,0.585360364
12,1,34,9,2,61,74,2,93,101,3,122,1,143,152,2,173,1,191,201,0.585328901
14,1,34,2,3,65,75,2,93,101,4,122,2,143,151,1,173,1,192,201,0.585217499
11,1,32,1,2,65,75,4,93,101,4,124,2,141,153,1,173,2,192,201,0.585075988
14,1,34,6,1,65,75,4,92,101,4,122,2,143,151,2,172,1,191,201,0.584899701
14,2,34,3,2,65,75,3,93,101,2,123,2,143,152,2,173,2,192,201,0.584831204
14,1,34,1,3,65,73,2,93,101,4,122,2,143,152,2,174,2,192,201,0.584136747
14,1,32,0,2,65,75,4,92,101,4,124,3,143,153,1,174,1,192,201,0.584006978
12,1,32,2,2,62,75,4,93,101,4,124,1,143,153,1,173,1,191,201,0.584001107
12,1,32,2,2,61,74,2,92,101,4,121,2,143,151,1,173,1,191,201,0.583785227
14,1,32,9,1,61,74,2,93,101,4,123,2,143,152,1,173,1,192,201,0.582305083
11,1,30,0,1,61,75,4,93,101,3,123,1,143,151,2,173,2,191,201,0.581069422
12,1,34,8,1,65,74,1,92,101,3,122,2,143,152,2,172,1,191,201,0.579885698
14,2,34,9,3,65,75,4,91,101,2,123,2,141,152,2,174,2,191,201,0.57972823
12,1,32,0,2,62,73,2,92,101,4,123,1,143,151,2,173,1,192,201,0.579364968
11,1,32,1,2,61,75,3,93,101,4,124,2,143,153,1,173,1,192,201,0.578932005
13,1,32,9,2,61,74,2,93,101,4,122,1,143,151,1,173,1,192,201,0.578791698
12,1,32,3,1,61,75,3,94,103,3,121,2,141,152,2,172,1,191,201,0.578514849
14,2,34,3,3,65,74,2,93,101,3,122,2,143,152,2,173,1,191,201,0.578320497
14,1,34,3,1,61,75,2,93,101,2,124,1,143,152,2,173,1,191,201,0.578292195
11,1,31,10,1,65,75,4,93,101,3,123,2,142,152,1,174,1,192,201,0.578260731
11,1,31,1,2,61,73,1,92,103,4,123,1,141,151,1,173,1,191,202,0.578237698
11,1,32,2,2,61,73,1,92,101,4,121,1,141,151,1,173,1,191,201,0.578129307
12,2,32,3,2,61,74,4,93,101,4,123,1,143,151,1,173,1,191,201,0.577957988
14,1,34,2,2,61,74,2,92,102,3,123,1,141,152,2,173,1,191,201,0.577757766
14,1,32,1,1,65,75,4,93,101,4,124,2,141,153,1,173,2,191,201,0.577486486
14,1,32,3,2,62,75,3,93,102,4,123,2,143,152,1,173,1,192,201,0.577204066
14,1,32,0,1,62,75,4,94,101,4,121,2,143,151,1,172,1,191,201,0.577124429
14,1,32,0,2,61,75,4,92,102,4,124,3,143,153,1,173,1,192,201,0.576958078
14,2,34,2,3,63,73,4,93,101,4,121,2,143,152,2,173,1,192,201,0.576776523
14,1,34,3,1,61,75,4,93,101,4,121,3,143,152,1,173,1,191,201,0.576260158
11,1,32,2,1,61,75,4,92,101,4,122,1,143,151,1,173,1,191,201,0.575912102
11,1,34,0,1,61,75,4,93,101,3,122,2,143,152,2,173,1,191,201,0.57551286
14,1,32,3,2,63,75,3,93,101,2,123,2,141,152,2,173,1,192,201,0.575376468
14,1,34,2,1,65,75,4,93,101,4,122,3,143,152,1,173,1,191,201,0.575234355
11,1,34,0,2,61,73,1,93,101,3,121,2,143,151,3,173,2,191,201,0.575051294
12,2,34,3,3,61,74,2,93,103,2,121,1,143,152,2,173,1,191,201,0.574951333
14,2,32,1,3,65,74,2,92,101,4,122,1,142,151,1,172,1,191,201,0.574832253
12,2,34,2,3,61,73,2,92,101,3,123,1,143,152,1,174,1,192,201,0.574650698
14,1,32,3,1,61,75,4,93,101,4,123,2,143,152,1,173,1,191,201,0.574356084
11,1,32,10,1,61,75,4,92,103,4,121,3,143,152,1,172,1,192,201,0.574196658
12,1,32,9,1,63,75,1,94,101,2,121,2,143,152,1,173,1,192,201,0.573624442
12,2,34,1,3,61,73,3,93,101,4,123,1,143,152,2,173,1,192,201,0.57337183
12,1,32,2,1,62,72,4,92,101,4,123,1,141,151,4,173,1,191,201,0.572851251
12,2,33,0,2,62,75,4,93,101,3,124,1,143,153,1,173,1,191,201,0.572440267
14,1,34,5,1,65,74,4,92,101,4,121,1,143,152,2,173,1,191,201,0.572390588
14,2,34,6,3,61,73,1,93,101,3,124,1,141,153,1,173,1,192,201,0.572022358
12,2,30,9,2,62,74,4,93,101,4,124,1,143,153,1,172,2,191,201,0.571963496
12,2,33,9,3,62,74,1,93,101,3,122,1,143,152,2,172,2,192,201,0.570600173
12,1,32,0,1,61,75,1,91,101,1,121,2,143,151,2,173,1,191,201,0.570066798
14,1,32,6,1,63,75,4,93,101,4,124,2,143,153,1,173,1,192,201,0.569672374
12,1,33,0,2,65,75,4,93,101,4,123,2,143,152,1,173,2,191,201,0.569325521
12,1,32,0,1,64,75,4,93,101,4,121,3,143,152,1,173,1,192,201,0.569094286
12,2,31,9,3,61,75,4,92,101,3,124,3,143,151,1,173,1,191,201,0.568889848
12,2,32,3,3,64,74,1,93,102,2,124,1,141,152,2,173,1,192,201,0.568874493
14,1,32,9,1,64,75,4,92,101,4,121,2,141,152,1,172,1,191,201,0.567862088
11,1,32,3,2,61,75,4,93,101,4,121,3,141,151,1,172,1,191,201,0.56775761
14,1,33,2,1,62,74,4,93,101,3,121,1,143,152,2,174,1,191,201,0.567667585
11,1,34,0,1,64,74,3,92,101,4,121,2,143,152,2,172,1,192,201,0.567104854
12,1,32,1,3,61,73,1,92,101,4,123,1,143,151,2,174,1,191,201,0.566846521
11,2,32,2,3,65,75,4,93,101,4,122,1,143,152,1,173,1,191,201,0.56682951
14,1,34,0,3,61,74,1,93,101,3,124,2,143,152,2,174,2,192,201,0.566726086
14,2,34,1,3,64,75,4,93,101,2,123,2,143,152,2,174,1,192,201,0.566530982
12,1,32,9,1,62,74,2,92,101,4,121,1,143,151,1,172,1,191,201,0.566225378
12,2,32,2,2,62,73,2,92,102,4,123,1,143,151,1,173,1,191,201,0.565601074
12,3,32,3,3,62,73,2,94,101,2,123,1,143,152,1,173,1,191,201,0.565438487
12,1,34,0,1,61,74,2,93,101,3,121,2,143,152,2,172,2,191,201,0.565027654
14,1,32,1,2,62,74,3,92,101,4,123,1,143,152,1,173,1,191,201,0.564207945
14,1,34,3,1,61,75,2,94,101,2,121,1,143,151,2,173,1,191,201,0.563862297
11,1,31,2,2,61,74,3,93,101,4,123,1,141,152,1,173,1,191,201,0.563552779
11,2,32,3,3,61,74,1,94,103,1,121,1,143,152,2,173,1,192,201,0.562921701
12,1,34,6,1,64,75,4,93,101,3,124,1,143,153,2,173,2,191,201,0.562749479
14,1,34,2,3,61,75,4,93,101,4,123,1,143,152,1,173,1,192,201,0.562697993
12,1,32,3,1,65,75,4,93,101,4,122,2,143,152,1,173,1,191,201,0.56240353
13,1,34,3,1,65,73,3,93,101,4,124,2,143,153,2,173,1,192,201,0.562279482
14,2,34,3,3,61,74,4,92,101,4,123,1,143,151,1,174,1,192,201,0.562204963
12,1,32,3,1,61,75,4,92,101,4,121,1,143,152,1,173,1,191,201,0.562032892
11,1,32,3,2,61,75,3,93,101,4,121,3,143,152,1,172,1,191,201,0.561168019
11,1,31,0,1,61,74,4,93,101,4,124,1,143,153,2,172,2,191,201,0.560984958
11,2,32,3,1,61,73,4,93,101,4,124,1,143,153,1,173,1,192,201,0.56096343
11,2,32,2,2,61,74,4,92,101,4,121,1,143,151,1,173,1,191,201,0.560692452
11,1,31,0,2,62,74,2,93,101,3,123,1,141,152,1,173,1,191,201,0.560609653
12,2,33,9,2,62,75,4,93,101,2,122,2,142,152,2,173,1,191,201,0.559699467
14,1,32,3,1,65,75,4,93,101,2,123,1,143,152,2,173,1,191,201,0.558679986
14,2,32,9,3,62,74,2,93,101,2,123,1,143,152,2,173,1,192,201,0.558461698
14,1,34,3,2,64,75,2,93,101,2,123,1,143,152,1,173,1,191,201,0.558019702
14,1,32,9,2,64,75,1,91,101,2,121,1,143,152,1,173,1,192,201,0.557923053
11,2,33,3,3,61,74,3,93,101,2,122,1,141,152,2,173,2,192,201,0.557914924
14,1,32,1,2,64,73,2,92,101,4,123,1,143,151,1,173,1,192,201,0.557763778
14,1,32,3,1,61,73,1,93,101,4,122,2,143,152,1,173,1,192,202,0.557418732
14,2,32,9,3,65,75,3,93,101,2,122,2,143,152,2,173,1,191,201,0.556900562
12,3,32,6,3,61,73,4,93,101,4,124,2,143,153,1,173,1,191,201,0.556520289
14,2,33,3,3,61,73,4,92,101,4,121,1,143,152,2,173,1,191,201,0.556143027
11,1,32,0,1,65,74,4,92,101,4,124,1,143,151,1,173,1,191,201,0.555752216
14,1,32,0,2,63,74,1,92,101,2,123,1,141,152,1,174,1,191,201,0.555475366
12,1,32,3,1,61,75,4,93,101,4,123,1,143,152,1,173,2,191,201,0.555237658
11,1,34,2,2,61,73,1,91,101,4,121,2,143,151,1,174,1,192,201,0.554784672
14,2,34,1,3,62,73,2,92,101,4,123,1,141,151,2,172,1,191,201,0.554683507
12,1,32,2,2,65,75,1,92,101,2,122,1,141,152,1,173,1,192,201,0.554312116
14,3,32,0,3,65,73,4,93,101,4,124,1,143,153,1,173,2,192,201,0.554073655
11,1,31,6,1,61,75,4,92,101,4,124,2,143,153,1,173,1,191,201,0.553906853
11,1,32,2,2,65,73,2,94,101,4,123,1,143,152,1,173,1,191,201,0.553740653
14,1,31,9,1,61,74,4,93,101,4,123,3,141,152,1,173,1,192,201,0.552947289
14,1,34,2,1,63,74,3,92,101,4,123,2,143,151,1,173,1,192,201,0.552730506
14,1,34,2,1,61,74,4,93,101,3,122,2,143,152,2,173,1,191,201,0.552681128
14,1,34,1,2,61,75,4,92,101,2,123,2,143,151,2,174,1,192,201,0.552565962
14,1,34,0,2,61,73,4,93,101,4,123,2,143,152,3,173,1,192,201,0.552532993
14,1,32,4,1,63,73,1,91,101,4,121,3,143,152,1,173,1,191,201,0.552473679
14,2,33,0,3,61,75,2,93,101,2,123,2,143,152,2,173,2,192,201,0.55242701
11,1,32,3,1,61,75,4,93,101,4,121,3,142,152,1,172,1,191,201,0.552072781
14,1,32,6,1,61,75,4,93,101,4,123,2,141,152,1,172,2,191,201,0.551970412
14,2,34,3,2,61,75,4,93,101,2,123,1,143,152,2,173,1,191,201,0.55177064
14,1,32,5,1,63,74,2,94,101,4,121,1,143,151,1,172,1,191,201,0.5516624
14,1,31,3,1,62,75,4,93,101,4,123,1,141,152,1,172,2,191,201,0.55147693
