StatusExistingAcc,CreditHistory,Purpose,SavingsAccount,EmploymentLength,InstallmentRate,MarriedNSex,Debtors,ResidenceLength,Property,InstallmentPlans,Housing,ExistingCredit,Job,NumPeopleLiable,Telephone,ForeignWorker,CreditEval,DurationMonth_C,CreditAmount_C,Age_C,rank
13,32,2,61,75,3,91,101,4,124,143,153,1,173,1,191,201,1,1,2,3,115
14,34,3,63,75,4,93,101,3,122,141,152,2,174,1,192,201,1,1,1,1,116
14,33,3,61,74,2,93,101,4,123,143,152,2,173,1,192,201,1,3,3,1,117
13,34,0,61,75,4,93,101,4,124,143,153,2,173,1,192,201,1,1,1,3,118
13,34,1,61,75,4,93,101,4,124,143,153,1,173,1,191,201,1,2,3,3,119
11,32,1,65,75,1,93,101,4,122,143,153,1,173,2,192,201,2,1,3,3,120
14,32,3,62,75,2,93,101,4,124,141,153,1,173,2,192,201,1,1,1,2,121
14,34,3,61,75,3,93,101,4,123,143,152,2,173,1,192,201,1,1,3,1,122
14,32,3,63,75,3,93,101,4,123,143,152,1,173,1,191,201,1,1,2,2,123
14,33,5,64,75,4,93,101,4,124,143,153,2,173,2,191,201,2,1,1,3,124
14,32,3,65,75,4,93,101,4,123,143,152,1,173,1,192,201,1,2,1,3,125
14,33,0,61,75,4,93,101,4,123,143,152,2,172,2,191,201,2,1,2,2,126
11,32,0,61,75,1,91,101,4,122,143,152,1,174,1,192,202,2,1,3,2,127
12,30,2,61,73,1,92,101,4,123,141,152,2,173,1,192,201,1,1,2,1,128
14,34,0,61,74,4,93,101,4,123,143,152,2,173,1,192,201,1,2,2,2,129
14,32,1,61,75,4,93,101,4,123,143,152,1,174,1,192,201,1,1,2,2,130
11,34,0,61,75,3,93,102,4,122,143,151,2,173,1,192,201,2,1,3,2,131
14,34,2,61,75,2,93,101,4,122,142,152,1,173,1,191,201,1,1,2,2,132
11,34,3,63,75,4,93,101,4,123,143,152,2,173,1,191,201,1,1,1,3,133
11,32,2,65,75,2,91,101,4,122,143,152,1,172,1,192,201,1,1,1,2,134
14,32,9,64,73,2,93,101,3,122,143,152,3,174,1,192,201,2,1,3,3,135
12,31,1,61,75,2,92,101,4,124,141,153,1,174,2,192,201,2,1,3,3,136
14,32,3,65,74,2,94,101,4,122,143,151,1,173,1,192,201,1,2,3,1,137
11,34,0,61,74,1,93,101,4,121,143,152,2,172,1,191,202,1,1,2,2,138
14,34,3,65,75,4,93,101,4,124,143,153,2,173,1,191,201,1,1,1,2,139
14,32,1,65,75,4,93,101,4,121,143,152,1,174,1,192,201,1,1,2,2,140
14,32,1,65,75,3,93,101,4,123,143,152,1,174,2,192,201,1,1,3,2,141
14,34,1,65,74,3,93,101,4,122,143,152,2,173,1,192,201,1,1,3,2,142
14,32,6,65,75,1,93,101,4,121,143,152,1,172,1,191,201,1,1,2,3,143
14,34,1,61,75,2,93,101,2,122,143,152,2,173,2,192,201,1,2,3,2,144
14,30,0,65,73,1,92,101,4,122,141,152,2,173,1,192,201,2,1,3,1,145
14,33,9,61,74,3,93,101,4,123,143,152,2,173,1,191,201,1,2,3,1,146
11,34,3,61,74,4,92,101,3,121,143,152,4,172,1,192,201,1,1,1,3,147
13,34,3,61,75,4,93,101,4,122,143,152,1,173,1,191,201,1,2,2,2,148
11,34,3,65,75,4,93,101,4,121,143,152,2,173,1,192,201,1,1,1,3,149
12,32,5,61,75,4,93,101,4,123,143,152,2,172,1,191,201,1,1,1,2,150
11,32,0,61,74,4,92,101,4,123,143,151,2,173,1,191,201,2,1,1,1,151
11,32,2,61,74,2,93,103,4,122,143,153,1,173,2,191,201,1,2,3,2,152
11,32,3,61,75,4,92,101,4,123,143,152,1,173,1,191,201,1,1,1,3,153
12,34,1,64,75,2,92,101,4,124,143,151,1,173,1,191,201,1,1,3,1,154
12,33,9,62,75,1,91,101,2,123,141,152,2,173,2,191,201,1,1,1,1,155
14,34,0,64,75,4,93,101,4,121,143,152,1,173,1,192,201,1,1,1,3,156
12,32,3,61,75,4,92,101,4,123,143,152,1,173,1,192,201,1,1,1,1,157
12,32,0,62,74,2,93,101,3,123,141,152,2,173,1,192,201,1,1,2,2,158
13,32,6,61,75,4,93,101,4,123,143,151,1,174,1,192,201,1,1,1,2,159
11,32,0,61,74,4,93,101,4,124,143,153,1,173,2,191,201,2,2,2,2,160
11,32,1,65,75,3,93,101,4,124,143,153,1,173,1,191,201,2,2,3,2,161
11,32,2,61,74,1,92,101,4,123,143,151,1,172,1,191,201,1,1,2,1,162
12,34,2,61,75,3,92,101,4,122,143,152,1,173,1,192,201,1,1,2,2,163
14,34,0,61,75,4,93,101,4,121,143,152,2,172,1,191,201,1,1,1,3,164
14,34,1,65,74,4,93,101,4,123,143,152,2,173,2,192,201,1,1,2,2,165
11,30,2,61,73,3,93,101,4,124,143,153,2,173,2,191,201,2,2,3,3,166
11,34,3,61,74,1,92,101,4,123,143,152,1,173,1,191,201,1,1,1,1,167
14,32,2,65,74,1,92,101,4,121,141,151,1,172,1,191,201,1,1,2,1,168
14,33,3,65,75,3,93,101,4,124,143,153,1,173,1,191,201,1,1,1,2,169
11,34,0,61,75,4,94,101,3,123,143,152,2,173,1,192,201,1,1,1,1,170
11,34,2,61,75,3,93,101,3,122,143,152,2,173,1,191,201,2,1,2,3,171
14,32,2,61,74,2,92,101,4,122,143,151,1,173,1,192,201,1,1,2,1,172
12,34,0,61,75,4,93,101,4,123,141,152,1,173,2,192,201,2,1,1,2,173
11,32,2,61,75,2,93,101,2,122,141,152,1,173,2,191,201,2,2,2,2,174
14,34,3,61,75,4,94,102,3,121,143,152,2,173,1,191,201,1,1,2,2,175
11,32,4,61,73,3,93,101,4,123,143,152,1,173,1,191,201,2,2,2,3,176
14,32,0,63,75,2,93,101,4,124,143,153,1,172,1,191,201,1,1,2,3,177
11,34,0,61,75,4,93,101,4,121,143,152,2,172,1,191,201,1,1,1,2,178
12,32,1,65,75,4,93,101,4,124,141,153,1,173,1,192,201,1,1,2,2,179
14,31,3,63,75,2,93,101,4,122,141,152,1,172,2,191,201,1,1,1,2,180
12,32,3,61,75,4,93,101,4,123,143,152,2,172,1,191,201,1,1,1,1,181
14,32,0,61,75,4,93,101,4,123,143,152,1,174,1,192,201,1,1,1,2,182
13,32,3,65,75,2,93,101,3,123,143,152,1,174,1,191,201,1,1,2,2,183
12,33,1,65,74,3,93,101,4,122,141,151,2,174,2,192,201,1,1,3,2,184
12,32,6,61,74,4,92,101,4,122,143,152,2,174,1,192,201,1,1,1,3,185
12,34,9,61,74,2,93,101,3,122,143,152,2,173,1,191,201,1,1,2,1,186
14,34,2,65,75,2,93,101,4,122,143,151,1,173,1,192,201,1,1,3,2,187
11,32,1,65,75,4,93,101,4,124,141,153,1,173,2,192,201,1,1,2,2,188
14,34,6,65,75,4,92,101,4,122,143,151,2,172,1,191,201,1,1,1,2,189
14,34,3,65,75,3,93,101,2,123,143,152,2,173,2,192,201,1,2,2,2,190
14,34,1,65,73,2,93,101,4,122,143,152,2,174,2,192,201,1,1,3,2,191
14,32,0,65,75,4,92,101,4,124,143,153,1,174,1,192,201,1,1,2,3,192
12,32,2,62,75,4,93,101,4,124,143,153,1,173,1,191,201,1,1,2,1,193
12,32,2,61,74,2,92,101,4,121,143,151,1,173,1,191,201,1,1,2,2,194
14,32,9,61,74,2,93,101,4,123,143,152,1,173,1,192,201,1,1,1,2,195
11,30,0,61,75,4,93,101,3,123,143,151,2,173,2,191,201,2,1,1,1,196
12,34,8,65,74,1,92,101,3,122,143,152,2,172,1,191,201,1,1,1,2,197
14,34,9,65,75,4,91,101,2,123,141,152,2,174,2,191,201,1,2,3,2,198
12,32,0,62,73,2,92,101,4,123,143,151,2,173,1,192,201,2,1,2,1,199
11,32,1,61,75,3,93,101,4,124,143,153,1,173,1,192,201,2,1,2,2,200
13,32,9,61,74,2,93,101,4,122,143,151,1,173,1,192,201,1,1,2,1,201
12,32,3,61,75,3,94,103,3,121,141,152,2,172,1,191,201,1,1,1,2,202
14,34,3,65,74,2,93,101,3,122,143,152,2,173,1,191,201,1,2,3,2,203
14,34,3,61,75,2,93,101,2,124,143,152,2,173,1,191,201,1,1,1,1,204
11,31,10,65,75,4,93,101,3,123,142,152,1,174,1,192,201,2,1,1,2,205
11,31,1,61,73,1,92,103,4,123,141,151,1,173,1,191,202,1,1,2,1,206
11,32,2,61,73,1,92,101,4,121,141,151,1,173,1,191,201,2,1,2,1,207
12,32,3,61,74,4,93,101,4,123,143,151,1,173,1,191,201,1,2,2,1,208
14,34,2,61,74,2,92,102,3,123,141,152,2,173,1,191,201,1,1,2,1,209
14,32,1,65,75,4,93,101,4,124,141,153,1,173,2,191,201,1,1,1,2,210
14,32,3,62,75,3,93,102,4,123,143,152,1,173,1,192,201,1,1,2,2,211
14,32,0,62,75,4,94,101,4,121,143,151,1,172,1,191,201,1,1,1,2,212
14,32,0,61,75,4,92,102,4,124,143,153,1,173,1,192,201,1,1,2,3,213
14,34,2,63,73,4,93,101,4,121,143,152,2,173,1,192,201,1,2,3,2,214
14,34,3,61,75,4,93,101,4,121,143,152,1,173,1,191,201,1,1,1,3,215
11,32,2,61,75,4,92,101,4,122,143,151,1,173,1,191,201,1,1,1,1,216
11,34,0,61,75,4,93,101,3,122,143,152,2,173,1,191,201,2,1,1,2,217
14,32,3,63,75,3,93,101,2,123,141,152,2,173,1,192,201,2,1,2,2,218
14,34,2,65,75,4,93,101,4,122,143,152,1,173,1,191,201,1,1,1,3,219
11,34,0,61,73,1,93,101,3,121,143,151,3,173,2,191,201,1,1,2,2,220
12,34,3,61,74,2,93,103,2,121,143,152,2,173,1,191,201,2,2,3,1,221
14,32,1,65,74,2,92,101,4,122,142,151,1,172,1,191,201,1,2,3,1,222
12,34,2,61,73,2,92,101,3,123,143,152,1,174,1,192,201,2,2,3,1,223
14,32,3,61,75,4,93,101,4,123,143,152,1,173,1,191,201,1,1,1,2,224
11,32,10,61,75,4,92,103,4,121,143,152,1,172,1,192,201,1,1,1,3,225
12,32,9,63,75,1,94,101,2,121,143,152,1,173,1,192,201,1,1,1,2,226
12,34,1,61,73,3,93,101,4,123,143,152,2,173,1,192,201,1,2,3,1,227
12,32,2,62,72,4,92,101,4,123,141,151,4,173,1,191,201,2,1,1,1,228
12,33,0,62,75,4,93,101,3,124,143,153,1,173,1,191,201,1,2,2,1,229
14,34,5,65,74,4,92,101,4,121,143,152,2,173,1,191,201,1,1,1,1,230
14,34,6,61,73,1,93,101,3,124,141,153,1,173,1,192,201,1,2,3,1,231
12,30,9,62,74,4,93,101,4,124,143,153,1,172,2,191,201,2,2,2,1,232
12,33,9,62,74,1,93,101,3,122,143,152,2,172,2,192,201,1,2,3,1,233
12,32,0,61,75,1,91,101,1,121,143,151,2,173,1,191,201,2,1,1,2,234
14,32,6,63,75,4,93,101,4,124,143,153,1,173,1,192,201,1,1,1,2,235
12,33,0,65,75,4,93,101,4,123,143,152,1,173,2,191,201,1,1,2,2,236
12,32,0,64,75,4,93,101,4,121,143,152,1,173,1,192,201,1,1,1,3,237
12,31,9,61,75,4,92,101,3,124,143,151,1,173,1,191,201,2,2,3,3,238
12,32,3,64,74,1,93,102,2,124,141,152,2,173,1,192,201,2,2,3,1,239
14,32,9,64,75,4,92,101,4,121,141,152,1,172,1,191,201,1,1,1,2,240
11,32,3,61,75,4,93,101,4,121,141,151,1,172,1,191,201,1,1,2,3,241
14,33,2,62,74,4,93,101,3,121,143,152,2,174,1,191,201,1,1,1,1,242
11,34,0,64,74,3,92,101,4,121,143,152,2,172,1,192,201,1,1,1,2,243
12,32,1,61,73,1,92,101,4,123,143,151,2,174,1,191,201,2,1,3,1,244
11,32,2,65,75,4,93,101,4,122,143,152,1,173,1,191,201,2,2,3,1,245
14,34,0,61,74,1,93,101,3,124,143,152,2,174,2,192,201,1,1,3,2,246
14,34,1,64,75,4,93,101,2,123,143,152,2,174,1,192,201,1,2,3,2,247
12,32,9,62,74,2,92,101,4,121,143,151,1,172,1,191,201,1,1,1,1,248
12,32,2,62,73,2,92,102,4,123,143,151,1,173,1,191,201,2,2,2,1,249
12,32,3,62,73,2,94,101,2,123,143,152,1,173,1,191,201,2,3,3,1,250
12,34,0,61,74,2,93,101,3,121,143,152,2,172,2,191,201,1,1,1,2,251
14,32,1,62,74,3,92,101,4,123,143,152,1,173,1,191,201,1,1,2,1,252
14,34,3,61,75,2,94,101,2,121,143,151,2,173,1,191,201,1,1,1,1,253
11,31,2,61,74,3,93,101,4,123,141,152,1,173,1,191,201,2,1,2,1,254
11,32,3,61,74,1,94,103,1,121,143,152,2,173,1,192,201,2,2,3,1,255
12,34,6,64,75,4,93,101,3,124,143,153,2,173,2,191,201,2,1,1,1,256
14,34,2,61,75,4,93,101,4,123,143,152,1,173,1,192,201,1,1,3,1,257
12,32,3,65,75,4,93,101,4,122,143,152,1,173,1,191,201,1,1,1,2,258
13,34,3,65,73,3,93,101,4,124,143,153,2,173,1,192,201,2,1,1,2,259
14,34,3,61,74,4,92,101,4,123,143,151,1,174,1,192,201,1,2,3,1,260
12,32,3,61,75,4,92,101,4,121,143,152,1,173,1,191,201,1,1,1,1,261
11,32,3,61,75,3,93,101,4,121,143,152,1,172,1,191,201,1,1,2,3,262
11,31,0,61,74,4,93,101,4,124,143,153,2,172,2,191,201,2,1,1,1,263
11,32,3,61,73,4,93,101,4,124,143,153,1,173,1,192,201,2,2,1,1,264
11,32,2,61,74,4,92,101,4,121,143,151,1,173,1,191,201,2,2,2,1,265
11,31,0,62,74,2,93,101,3,123,141,152,1,173,1,191,201,1,1,2,1,266
12,33,9,62,75,4,93,101,2,122,142,152,2,173,1,191,201,1,2,2,2,267
14,32,3,65,75,4,93,101,2,123,143,152,2,173,1,191,201,1,1,1,1,268
14,32,9,62,74,2,93,101,2,123,143,152,2,173,1,192,201,1,2,3,1,269
14,34,3,64,75,2,93,101,2,123,143,152,1,173,1,191,201,1,1,2,1,270
14,32,9,64,75,1,91,101,2,121,143,152,1,173,1,192,201,1,1,2,1,271
11,33,3,61,74,3,93,101,2,122,141,152,2,173,2,192,201,2,2,3,1,272
14,32,1,64,73,2,92,101,4,123,143,151,1,173,1,192,201,1,1,2,1,273
14,32,3,61,73,1,93,101,4,122,143,152,1,173,1,192,202,1,1,1,2,274
14,32,9,65,75,3,93,101,2,122,143,152,2,173,1,191,201,1,2,3,2,275
12,32,6,61,73,4,93,101,4,124,143,153,1,173,1,191,201,2,3,3,2,276
14,33,3,61,73,4,92,101,4,121,143,152,2,173,1,191,201,1,2,3,1,277
11,32,0,65,74,4,92,101,4,124,143,151,1,173,1,191,201,2,1,1,1,278
14,32,0,63,74,1,92,101,2,123,141,152,1,174,1,191,201,1,1,2,1,279
12,32,3,61,75,4,93,101,4,123,143,152,1,173,2,191,201,1,1,1,1,280
11,34,2,61,73,1,91,101,4,121,143,151,1,174,1,192,201,2,1,2,2,281
14,34,1,62,73,2,92,101,4,123,141,151,2,172,1,191,201,2,2,3,1,282
12,32,2,65,75,1,92,101,2,122,141,152,1,173,1,192,201,2,1,2,1,283
14,32,0,65,73,4,93,101,4,124,143,153,1,173,2,192,201,1,3,3,1,284
11,31,6,61,75,4,92,101,4,124,143,153,1,173,1,191,201,2,1,1,2,285
11,32,2,65,73,2,94,101,4,123,143,152,1,173,1,191,201,2,1,2,1,286
14,31,9,61,74,4,93,101,4,123,141,152,1,173,1,192,201,1,1,1,3,287
14,34,2,63,74,3,92,101,4,123,143,151,1,173,1,192,201,1,1,1,2,288
14,34,2,61,74,4,93,101,3,122,143,152,2,173,1,191,201,1,1,1,2,289
14,34,1,61,75,4,92,101,2,123,143,151,2,174,1,192,201,1,1,2,2,290
14,34,0,61,73,4,93,101,4,123,143,152,3,173,1,192,201,1,1,2,2,291
14,32,4,63,73,1,91,101,4,121,143,152,1,173,1,191,201,1,1,1,3,292
14,33,0,61,75,2,93,101,2,123,143,152,2,173,2,192,201,1,2,3,2,293
11,32,3,61,75,4,93,101,4,121,142,152,1,172,1,191,201,2,1,1,3,294
14,32,6,61,75,4,93,101,4,123,141,152,1,172,2,191,201,2,1,1,2,295
14,34,3,61,75,4,93,101,2,123,143,152,2,173,1,191,201,1,2,2,1,296
14,32,5,63,74,2,94,101,4,121,143,151,1,172,1,191,201,1,1,1,1,297
14,31,3,62,75,4,93,101,4,123,141,152,1,172,2,191,201,1,1,1,1,298
14,32,9,61,74,1,93,101,4,121,143,152,1,172,1,191,201,1,1,2,3,299
14,32,0,65,74,4,92,101,4,122,143,151,1,173,1,191,201,1,1,1,1,300
14,34,3,61,74,1,92,101,2,123,143,151,2,173,1,192,201,1,1,1,1,301
12,32,0,61,75,4,93,101,4,123,141,152,1,172,2,191,201,2,1,1,2,302
11,33,0,61,73,3,93,101,4,124,143,153,2,173,2,191,201,2,1,3,3,303
11,34,2,61,73,2,91,101,3,122,143,152,2,173,1,191,201,1,1,1,1,304
11,34,1,61,74,4,93,101,4,123,143,152,2,173,1,192,201,2,2,3,1,305
12,32,3,62,73,4,93,103,4,122,143,151,1,173,1,191,201,2,2,2,1,306
12,33,0,65,73,4,92,101,4,123,143,151,2,173,1,192,201,1,1,1,2,307
11,33,9,61,74,2,93,101,1,123,143,152,2,173,1,192,201,2,2,2,1,308
12,33,9,61,73,2,91,101,2,121,142,152,2,174,1,192,201,2,2,3,1,309
12,32,0,65,74,1,92,101,2,123,143,152,1,173,1,191,201,1,2,3,1,310
12,32,2,65,73,1,92,101,4,122,143,152,1,172,1,192,201,1,1,3,2,311
