school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,student's school,student's sex,student's age,student's home address type,family size,parent's cohabitation status,mother's education,father's education,mother's job,father's job,reason to choose this school,student's guardian,home to school travel time,weekly study time,number of past class failures,extra educational support,family educational support,extra paid classes within the course subject,extra-curricular activities,attended nursery school,wants to take higher education,Internet access at home,with a romantic relationship,quality of family relationships,free time after school,going out with friends,workday alcohol consumption,weekend alcohol consumption,current health status,number of school absences,first period grade,second period grade,final grade,rank
GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4,14,14,14,GP,female,15-17,urban,greater than 3,living together,higher education,higher education,healthcare related,other,close to home,mother,< 15 min,< 2 hours,0,no,yes,no,no,yes,yes,yes,no,good,above average,above average,very low,below average,bad,< 30,11 to 15,11 to 15,11 to 15,75.0
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,13,14,14,GP,female,15-17,urban,greater than 3,living together,higher education,higher education,civial services,civial services,school reputation,mother,< 15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,no,average,below average,average,very low,below average,bad,< 30,11 to 15,11 to 15,11 to 15,76.0
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,8,10,10,GP,female,15-17,urban,greater than 3,living together,secondary education,secondary education,other,other,school reputation,mother,30 min to 1 hour,2 to 5 hours,0,yes,yes,no,yes,yes,yes,no,no,excellent,average,below average,very low,very low,good,< 30,5 to 10,5 to 10,5 to 10,212.0
GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16,6,5,5,GP,male,15-17,urban,greater than 3,living together,secondary education,5th to 9th grade,civial services,civial services,course preference,mother,< 15 min,< 2 hours,3,no,yes,no,yes,yes,yes,yes,no,excellent,very high,very high,below average,above average,very good,< 30,5 to 10,5 to 10,5 to 10,350.0
GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4,8,10,10,GP,male,15-17,urban,less or equal to 3,living together,higher education,secondary education,healthcare related,other,close to home,father,< 15 min,< 2 hours,0,no,no,yes,yes,yes,yes,yes,no,average,very low,average,very low,average,very good,< 30,5 to 10,5 to 10,5 to 10,213.0
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,13,14,15,GP,male,15-17,urban,greater than 3,living together,higher education,secondary education,teacher,other,school reputation,mother,< 15 min,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,good,above average,very low,very low,very low,very bad,< 30,11 to 15,11 to 15,11 to 15,44.0
GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,12,15,15,GP,male,15-17,urban,greater than 3,living together,higher education,higher education,healthcare related,healthcare related,other,father,< 15 min,< 2 hours,0,no,yes,yes,no,yes,yes,yes,no,excellent,above average,below average,very low,very low,very good,< 30,11 to 15,11 to 15,11 to 15,45.0
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,15,15,16,GP,male,15-17,urban,less or equal to 3,living together,higher education,5th to 9th grade,teacher,other,course preference,mother,< 15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,no,good,very high,very low,very low,average,very good,< 30,11 to 15,11 to 15,> 15,26.0
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0,13,13,12,GP,male,15-17,urban,less or equal to 3,living together,5th to 9th grade,5th to 9th grade,other,other,school reputation,mother,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,excellent,above average,above average,below average,above average,very good,< 30,11 to 15,11 to 15,11 to 15,133.0
GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,9,8,GP,female,15-17,rural,greater than 3,living together,5th to 9th grade,higher education,civial services,healthcare related,course preference,mother,< 15 min,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,good,average,below average,very low,very low,very good,< 30,5 to 10,5 to 10,5 to 10,294.0
GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,14,6,9,8,GP,female,15-17,urban,greater than 3,living together,5th to 9th grade,5th to 9th grade,civial services,civial services,close to home,mother,< 15 min,< 2 hours,2,no,yes,yes,no,no,yes,yes,no,very bad,below average,below average,very low,average,very good,< 30,5 to 10,5 to 10,5 to 10,295.0
GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2,12,12,11,GP,male,15-17,urban,greater than 3,living together,5th to 9th grade,5th to 9th grade,other,other,close to home,mother,< 15 min,< 2 hours,0,no,yes,yes,no,yes,yes,yes,no,good,below average,below average,very low,below average,very good,< 30,11 to 15,11 to 15,11 to 15,165.0
GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4,15,16,15,GP,male,15-17,urban,greater than 3,living together,higher education,5th to 9th grade,healthcare related,civial services,other,mother,< 15 min,< 2 hours,0,no,no,yes,no,yes,yes,yes,no,bad,below average,above average,below average,above average,very bad,< 30,11 to 15,> 15,11 to 15,46.0
GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,11,11,11,GP,male,15-17,urban,less or equal to 3,part,secondary education,higher education,civial services,other,close to home,mother,< 15 min,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,no,excellent,average,average,very low,very low,very good,< 30,11 to 15,11 to 15,11 to 15,166.0
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,10,12,11,GP,male,15-17,urban,greater than 3,living together,higher education,higher education,teacher,teacher,close to home,mother,< 15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,yes,good,above average,very high,very high,very high,very good,< 30,5 to 10,11 to 15,11 to 15,167.0
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,9,11,12,GP,male,15-17,urban,greater than 3,living together,higher education,higher education,healthcare related,civial services,close to home,mother,< 15 min,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,no,excellent,above average,below average,average,above average,very good,< 30,5 to 10,11 to 15,11 to 15,134.0
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,17,16,17,GP,male,15-17,urban,greater than 3,living together,higher education,higher education,civial services,civial services,school reputation,mother,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,good,average,very low,very low,very low,very good,< 30,> 15,> 15,> 15,19.0
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,17,16,16,GP,male,15-17,rural,greater than 3,living together,higher education,secondary education,teacher,at home,course preference,mother,< 15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,yes,good,very high,below average,very low,very low,very good,< 30,> 15,> 15,> 15,27.0
GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,8,10,12,GP,male,15-17,urban,less or equal to 3,living together,secondary education,secondary education,other,other,course preference,mother,< 15 min,2 to 5 hours,0,no,no,no,yes,no,yes,yes,no,excellent,average,below average,very low,very low,bad,< 30,5 to 10,5 to 10,11 to 15,135.0
GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,yes,no,no,yes,yes,no,5,4,3,1,1,5,0,12,14,15,GP,male,15-17,urban,greater than 3,living together,secondary education,5th to 9th grade,other,other,close to home,mother,< 15 min,< 2 hours,0,no,yes,yes,no,no,yes,yes,no,excellent,above average,average,very low,very low,very good,< 30,11 to 15,11 to 15,11 to 15,47.0
GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,0,8,7,6,GP,female,15-17,urban,greater than 3,living together,5th to 9th grade,secondary education,other,other,other,father,15 to 30 min,< 2 hours,0,no,yes,no,yes,yes,yes,no,no,average,very high,very low,very low,very low,very good,< 30,5 to 10,5 to 10,5 to 10,338.0
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,15,16,18,GP,male,15-17,urban,less or equal to 3,living together,higher education,secondary education,teacher,civial services,close to home,mother,< 15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,excellent,above average,average,very low,very low,good,< 30,11 to 15,> 15,> 15,7.0
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7,15,16,15,GP,male,15-17,rural,greater than 3,part,higher education,higher education,other,teacher,school reputation,mother,15 to 30 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,bad,above average,average,very low,very low,very good,< 30,11 to 15,> 15,11 to 15,48.0
GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,12,12,11,GP,female,15-17,rural,greater than 3,living together,secondary education,higher education,civial services,healthcare related,course preference,mother,< 15 min,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,good,average,below average,very low,very low,very good,< 30,11 to 15,11 to 15,11 to 15,168.0
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,13,GP,female,15-17,rural,greater than 3,living together,5th to 9th grade,5th to 9th grade,at home,other,school reputation,mother,< 15 min,< 2 hours,0,yes,yes,yes,yes,yes,yes,no,no,good,average,very low,very low,very low,bad,< 30,11 to 15,11 to 15,11 to 15,101.0
GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,7,10,11,GP,female,15-17,urban,less or equal to 3,living together,5th to 9th grade,5th to 9th grade,other,other,close to home,mother,15 to 30 min,2 to 5 hours,1,no,yes,no,yes,no,yes,yes,yes,average,average,average,very low,below average,average,< 30,5 to 10,5 to 10,11 to 15,169.0
GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,12,12,12,GP,male,15-17,urban,less or equal to 3,living together,higher education,higher education,teacher,other,close to home,other,< 15 min,< 2 hours,0,no,yes,no,no,no,yes,yes,yes,excellent,above average,average,below average,above average,very good,< 30,11 to 15,11 to 15,11 to 15,136.0
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,19,18,18,GP,male,15-17,urban,greater than 3,living together,higher education,higher education,civial services,teacher,course preference,father,< 15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,good,average,average,very low,very low,very good,< 30,> 15,> 15,> 15,8.0
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,8,8,11,GP,male,15-17,urban,greater than 3,living together,5th to 9th grade,5th to 9th grade,civial services,civial services,course preference,father,< 15 min,< 2 hours,0,yes,yes,no,no,yes,yes,yes,no,excellent,above average,very low,very low,very low,very bad,< 30,5 to 10,5 to 10,11 to 15,170.0
GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,10,9,GP,female,15-17,urban,less or equal to 3,living together,5th to 9th grade,5th to 9th grade,other,at home,course preference,father,15 to 30 min,2 to 5 hours,1,yes,no,no,yes,yes,yes,yes,no,good,average,average,below average,below average,very good,< 30,5 to 10,5 to 10,5 to 10,267.0
GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6,GP,female,15-17,urban,less or equal to 3,part,higher education,secondary education,other,other,course preference,mother,< 15 min,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,yes,excellent,below average,below average,very low,very low,very good,< 30,5 to 10,5 to 10,5 to 10,339.0
GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12,11,12,11,GP,female,15-17,urban,less or equal to 3,part,secondary education,secondary education,other,civial services,close to home,mother,< 15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,bad,average,very high,very low,above average,average,< 30,11 to 15,11 to 15,11 to 15,171.0
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,19,19,20,GP,male,15-17,urban,greater than 3,living together,higher education,secondary education,healthcare related,civial services,school reputation,mother,< 15 min,> 10 hours,0,no,no,no,yes,yes,yes,yes,no,good,below average,below average,very low,very low,bad,< 30,> 15,> 15,> 15,1.0
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,2,15,15,14,GP,male,15-17,urban,greater than 3,living together,higher education,5th to 9th grade,teacher,other,close to home,mother,< 15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,no,good,average,average,below average,below average,very good,< 30,11 to 15,11 to 15,11 to 15,77.0
GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,7,7,7,GP,female,15-17,urban,greater than 3,living together,higher education,higher education,civial services,teacher,other,father,< 15 min,2 to 5 hours,1,yes,yes,no,yes,no,yes,yes,no,good,above average,above average,very low,very low,average,< 30,5 to 10,5 to 10,5 to 10,326.0
GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,2,12,13,13,GP,female,15-17,urban,less or equal to 3,living together,5th to 9th grade,5th to 9th grade,civial services,civial services,course preference,mother,30 min to 1 hour,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,good,average,average,below average,average,good,< 30,11 to 15,11 to 15,11 to 15,102.0
GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2,11,13,13,GP,female,15-17,urban,less or equal to 3,living together,higher education,5th to 9th grade,healthcare related,other,other,mother,< 15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,good,average,average,very low,very low,very good,< 30,11 to 15,11 to 15,11 to 15,103.0
GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6,11,11,10,GP,male,15-17,urban,less or equal to 3,part,higher education,5th to 9th grade,healthcare related,healthcare related,other,father,15 to 30 min,< 2 hours,1,no,no,no,no,yes,yes,no,no,excellent,very high,very high,average,above average,very good,< 30,11 to 15,11 to 15,5 to 10,214.0
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0,8,10,11,GP,female,15-17,urban,greater than 3,living together,higher education,higher education,civial services,civial services,course preference,mother,< 15 min,< 2 hours,0,yes,yes,yes,no,yes,yes,yes,no,average,average,above average,below average,average,very good,< 30,5 to 10,5 to 10,11 to 15,172.0
GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,6,10,13,13,GP,female,15-17,urban,less or equal to 3,part,secondary education,secondary education,other,other,other,mother,< 15 min,< 2 hours,0,no,no,yes,no,yes,yes,yes,no,excellent,average,above average,above average,above average,very bad,< 30,5 to 10,11 to 15,11 to 15,104.0
GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,8,9,10,GP,female,15-17,urban,greater than 3,part,5th to 9th grade,primary education (4th grade),other,other,other,mother,< 15 min,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,yes,excellent,average,above average,very low,very low,bad,< 30,5 to 10,5 to 10,5 to 10,215.0
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,14,15,15,GP,female,15-17,urban,greater than 3,part,higher education,secondary education,civial services,civial services,school reputation,mother,< 15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,good,average,below average,very low,very low,very bad,< 30,11 to 15,11 to 15,11 to 15,49.0
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4,14,15,15,GP,male,15-17,urban,greater than 3,living together,higher education,higher education,teacher,healthcare related,school reputation,mother,< 15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,average,below average,below average,very low,very low,very good,< 30,11 to 15,11 to 15,11 to 15,50.0
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,9,10,9,GP,male,15-17,urban,less or equal to 3,living together,primary education (4th grade),5th to 9th grade,other,at home,close to home,father,< 15 min,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,no,good,average,below average,very low,very low,very good,< 30,5 to 10,5 to 10,5 to 10,268.0
GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2,15,16,16,GP,female,15-17,urban,greater than 3,living together,higher education,5th to 9th grade,civial services,other,course preference,mother,< 15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,good,below average,average,very low,very low,very good,< 30,11 to 15,> 15,> 15,28.0
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6,10,11,11,GP,female,15-17,rural,greater than 3,living together,higher education,higher education,healthcare related,teacher,other,mother,< 15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,bad,above average,above average,below average,average,good,< 30,5 to 10,11 to 15,11 to 15,173.0
GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6,10,8,11,GP,female,15-17,urban,greater than 3,living together,primary education (4th grade),primary education (4th grade),civial services,civial services,course preference,father,> 1 hour,< 2 hours,0,yes,yes,no,yes,no,yes,yes,yes,excellent,very high,very high,very high,very high,very good,< 30,5 to 10,5 to 10,11 to 15,174.0
GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4,8,10,9,GP,female,15-17,urban,less or equal to 3,living together,primary education (4th grade),5th to 9th grade,other,civial services,school reputation,father,< 15 min,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,no,good,above average,average,very low,very low,very bad,< 30,5 to 10,5 to 10,5 to 10,269.0
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,10,9,9,GP,female,15-17,urban,greater than 3,living together,higher education,secondary education,teacher,healthcare related,close to home,mother,< 15 min,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,average,above average,above average,below average,above average,good,< 30,5 to 10,5 to 10,5 to 10,270.0
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,10,10,10,GP,female,15-17,urban,less or equal to 3,living together,higher education,secondary education,civial services,civial services,school reputation,father,< 15 min,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,yes,good,above average,above average,below average,above average,bad,< 30,5 to 10,5 to 10,5 to 10,216.0
