school,sex,age_binary,address,famsize,Pstatus,Medu,Fedu,rank
0,0,0,0,0,0,3,1,55.0
0,0,0,0,1,0,3,2,56.0
0,1,0,0,1,0,3,3,57.0
0,0,0,1,1,0,2,2,58.0
0,0,0,1,1,0,2,1,59.0
0,1,0,0,0,0,1,1,60.0
1,0,0,1,1,0,4,4,61.0
0,0,0,0,1,0,4,4,62.0
0,1,0,0,0,1,4,4,63.0
0,1,0,1,1,0,3,2,64.0
0,1,0,1,0,0,1,1,65.0
0,0,0,0,1,1,3,1,66.0
0,0,0,1,1,0,4,3,67.0
0,0,0,1,1,0,3,1,68.0
1,1,0,1,1,0,2,1,69.0
1,1,1,1,1,0,1,1,70.0
0,0,0,1,1,0,2,4,71.0
0,0,0,0,1,0,2,2,72.0
0,0,0,1,0,0,2,2,73.0
0,0,0,0,1,0,4,4,74.0
0,0,0,0,1,0,3,3,75.0
0,0,0,0,1,0,4,3,76.0
0,0,0,0,1,0,2,2,77.0
0,1,0,1,1,0,1,3,78.0
0,0,0,0,1,0,2,2,79.0
0,1,0,1,1,0,2,3,80.0
0,1,0,0,1,0,4,3,81.0
0,0,0,0,0,0,3,3,82.0
0,1,0,0,1,0,1,2,83.0
0,0,1,0,1,0,3,3,84.0
0,1,0,0,1,0,2,2,85.0
0,1,0,0,0,0,3,3,86.0
0,0,0,0,1,0,2,3,87.0
0,1,1,0,1,0,3,1,88.0
0,1,0,0,1,0,3,2,89.0
0,1,0,0,1,0,2,1,90.0
0,1,0,1,1,0,2,1,91.0
0,1,0,0,0,0,1,1,92.0
0,1,0,0,1,0,4,3,93.0
0,0,0,0,1,0,4,4,94.0
0,1,0,0,0,1,4,1,95.0
0,0,0,0,0,0,4,3,96.0
0,1,1,0,1,0,4,4,97.0
0,1,0,0,0,0,2,2,98.0
1,1,1,1,1,0,1,1,99.0
1,1,0,0,0,0,1,3,100.0
1,1,1,1,1,0,1,1,101.0
1,0,0,0,0,0,3,1,102.0
0,0,0,0,1,0,4,4,103.0
0,0,0,0,0,0,2,2,104.0
0,1,0,0,0,0,1,2,105.0
0,0,0,0,0,0,1,2,106.0
0,0,0,0,1,0,4,3,107.0
0,1,0,1,1,0,2,1,108.0
0,0,1,0,1,0,0,1,109.0
0,1,0,0,0,0,2,2,110.0
0,0,0,0,0,0,3,3,111.0
0,1,0,0,0,0,4,3,112.0
0,1,0,1,1,0,4,2,113.0
0,0,0,0,1,1,3,3,114.0
0,0,0,0,1,0,1,1,115.0
0,0,0,0,1,0,3,4,116.0
0,1,0,0,0,0,2,1,117.0
0,1,0,0,1,0,4,4,118.0
0,0,0,0,1,0,3,3,119.0
0,0,1,0,1,0,3,3,120.0
0,0,0,1,1,1,3,2,121.0
0,1,0,0,1,0,4,4,122.0
0,0,0,0,1,0,4,3,123.0
0,0,0,0,1,0,2,2,124.0
0,0,0,0,1,0,4,4,125.0
0,1,0,0,1,0,4,3,126.0
1,0,0,0,1,0,3,3,127.0
1,0,1,0,0,0,3,2,128.0
1,1,1,0,0,1,2,2,129.0
1,1,1,0,0,0,1,1,130.0
0,0,0,0,0,0,1,1,131.0
0,0,0,0,1,0,3,3,132.0
0,0,0,0,1,0,3,3,133.0
0,1,0,0,0,0,4,3,134.0
0,1,0,0,0,1,4,2,135.0
0,0,0,0,1,1,2,1,136.0
0,0,0,0,0,0,4,3,137.0
0,1,0,0,1,0,4,2,138.0
0,1,0,0,1,0,4,3,139.0
0,1,0,0,1,0,4,0,140.0
0,1,0,0,1,0,2,1,141.0
0,0,0,0,1,0,1,1,142.0
0,1,0,0,1,0,2,2,143.0
0,0,0,0,1,0,4,2,144.0
0,0,0,1,1,0,1,1,145.0
0,0,0,0,1,0,2,1,146.0
0,0,0,1,1,0,3,3,147.0
0,1,0,0,0,1,2,1,148.0
0,0,0,1,1,0,3,3,149.0
0,0,0,1,1,0,1,1,150.0
0,1,0,0,1,0,1,3,151.0
0,1,0,0,1,0,2,2,152.0
0,1,0,0,0,0,4,4,153.0
0,1,0,1,1,0,1,2,154.0
0,1,0,1,1,0,3,3,155.0
0,1,0,1,0,0,3,3,156.0
0,0,0,0,0,0,4,4,157.0
0,0,0,0,1,0,2,3,158.0
0,0,0,0,1,0,1,1,159.0
0,0,0,0,1,0,1,1,160.0
0,0,0,1,0,0,4,4,161.0
0,0,0,0,1,0,2,2,162.0
0,1,0,0,1,0,3,2,163.0
0,1,0,0,1,0,3,3,164.0
0,1,0,0,1,0,3,1,165.0
0,1,0,0,1,0,4,2,166.0
0,0,0,0,1,0,2,4,167.0
0,1,0,0,0,0,4,3,168.0
0,1,0,0,0,1,3,2,169.0
0,0,0,0,1,0,1,1,170.0
0,1,0,0,0,0,4,4,171.0
0,0,1,0,0,0,1,1,172.0
0,0,0,1,1,0,3,4,173.0
0,1,0,1,1,0,2,2,174.0
0,0,0,1,1,1,3,2,175.0
0,0,0,0,1,0,2,3,176.0
1,1,0,0,0,0,1,1,177.0
1,0,0,0,1,0,3,3,178.0
1,1,0,1,1,0,1,3,179.0
1,0,0,0,1,0,2,3,180.0
1,0,0,1,1,0,1,1,181.0
1,0,0,1,0,0,4,4,182.0
1,0,0,1,1,0,3,1,183.0
1,1,0,0,1,0,2,3,184.0
1,0,0,1,1,0,2,2,185.0
1,1,0,1,0,0,3,2,186.0
0,1,0,0,0,0,2,2,187.0
0,1,0,0,1,0,4,3,188.0
0,1,0,0,1,0,2,2,189.0
0,1,0,0,0,1,3,4,190.0
0,1,0,0,1,0,4,4,191.0
0,0,0,1,1,0,3,4,192.0
0,0,0,0,0,0,2,2,193.0
0,1,0,0,1,0,2,2,194.0
0,0,0,0,0,1,3,3,195.0
0,0,0,0,1,0,4,4,196.0
0,0,0,1,1,0,4,4,197.0
0,0,0,0,1,0,1,1,198.0
0,0,0,0,1,0,3,3,199.0
0,0,0,0,1,0,2,2,200.0
0,1,0,0,1,0,2,3,201.0
0,0,0,0,1,1,3,3,202.0
0,0,0,0,0,1,3,4,203.0
0,0,0,0,1,1,3,4,204.0
0,0,0,0,1,0,4,4,205.0
0,0,0,0,1,0,1,1,206.0
0,0,0,0,1,0,1,2,207.0
0,0,0,0,1,0,2,2,208.0
0,1,0,0,1,0,4,3,209.0
0,1,0,0,1,0,3,3,210.0
0,1,0,0,1,0,1,2,211.0
0,0,0,1,1,0,2,2,212.0
0,1,0,1,1,0,2,2,213.0
0,0,0,1,1,0,2,1,214.0
0,1,1,0,0,1,4,3,215.0
0,0,0,1,1,0,4,4,216.0
0,0,0,0,0,0,1,1,217.0
0,0,0,0,1,0,2,2,218.0
0,1,0,0,1,0,1,1,219.0
0,1,0,0,1,0,4,2,220.0
0,1,0,0,1,0,3,3,221.0
0,0,0,0,0,1,4,4,222.0
0,1,1,0,1,0,1,2,223.0
0,0,1,0,0,0,3,2,224.0
0,0,1,1,1,0,2,3,225.0
0,0,0,0,1,0,4,4,226.0
0,0,0,1,0,0,2,2,227.0
0,1,0,0,1,0,4,4,228.0
0,0,1,0,1,0,2,1,229.0
1,1,0,1,1,0,4,3,230.0
1,0,0,0,0,1,3,2,231.0
1,0,0,1,1,0,4,4,232.0
1,0,0,0,1,0,2,2,233.0
0,0,0,0,1,0,2,1,234.0
0,1,0,0,0,0,2,2,235.0
0,1,0,0,1,0,4,4,236.0
0,1,0,0,0,0,3,3,237.0
0,1,0,0,0,0,4,4,238.0
0,1,0,0,1,1,4,4,239.0
0,1,0,0,1,0,2,3,240.0
0,1,0,0,1,0,3,4,241.0
0,0,0,0,0,0,2,2,242.0
0,1,0,0,0,0,1,1,243.0
0,0,0,0,1,0,4,4,244.0
0,1,0,0,1,0,3,3,245.0
0,1,0,0,1,0,3,2,246.0
0,1,0,0,1,0,3,3,247.0
0,0,0,0,1,0,3,2,248.0
0,1,0,0,0,0,2,3,249.0
0,0,0,0,1,1,2,1,250.0
0,0,0,0,1,0,2,1,251.0
0,1,0,0,0,0,4,3,252.0
0,1,0,1,0,1,4,4,253.0
0,1,0,0,1,0,4,4,254.0
0,1,0,1,1,0,2,1,255.0
0,1,0,1,1,0,3,2,256.0
0,0,0,0,0,0,2,2,257.0
0,0,0,1,0,0,1,1,258.0
0,0,0,0,1,0,1,1,259.0
0,0,0,0,1,0,2,4,260.0
0,1,1,1,1,0,3,3,261.0
1,1,0,1,0,0,1,1,262.0
1,0,0,1,1,0,1,2,263.0
1,1,0,1,0,0,1,2,264.0
0,0,0,1,1,0,2,2,265.0
0,0,0,0,0,0,2,2,266.0
0,0,0,0,0,0,4,2,267.0
0,0,0,0,0,1,3,3,268.0
0,1,0,1,1,0,4,4,269.0
0,0,0,0,1,0,2,2,270.0
0,1,0,0,1,0,3,3,271.0
0,1,0,0,1,0,3,4,272.0
0,0,0,0,0,0,2,4,273.0
0,1,0,0,1,0,4,4,274.0
0,0,0,0,0,0,1,1,275.0
0,1,0,1,0,0,1,2,276.0
0,0,0,0,1,0,2,3,277.0
0,0,0,0,1,0,4,3,278.0
0,1,0,0,0,0,4,4,279.0
0,1,0,0,1,0,2,2,280.0
0,1,0,0,1,0,4,4,281.0
0,1,0,0,0,0,2,2,282.0
0,1,0,0,1,0,2,3,283.0
0,0,0,0,0,0,4,2,284.0
0,0,0,0,0,0,2,1,285.0
0,1,1,0,1,0,3,3,286.0
0,0,1,0,1,0,2,1,287.0
0,0,1,0,1,0,1,1,288.0
0,0,0,0,1,1,4,3,289.0
0,0,1,1,1,1,3,1,290.0
1,1,0,1,1,0,3,2,291.0
1,1,0,0,1,0,3,3,292.0
1,0,0,1,1,0,4,4,293.0
1,0,0,1,0,1,1,4,294.0
1,1,0,0,0,0,4,4,295.0
0,1,0,0,0,0,4,4,296.0
0,0,0,0,1,0,4,4,297.0
0,0,0,0,1,0,4,4,298.0
0,1,0,0,1,0,4,2,299.0
0,1,0,0,1,0,3,1,300.0
0,0,0,0,1,0,4,2,301.0
0,1,0,0,0,0,2,2,302.0
0,0,0,0,1,0,4,4,303.0
0,1,0,0,1,0,4,4,304.0
0,1,0,0,1,0,4,4,305.0
0,1,0,0,0,0,2,1,306.0
0,0,0,0,1,0,4,4,307.0
0,1,0,0,1,0,2,3,308.0
0,0,0,0,1,1,2,2,309.0
0,0,0,0,1,0,4,4,310.0
0,0,0,0,0,0,4,3,311.0
0,1,0,0,1,0,2,1,312.0
0,0,0,0,1,0,2,3,313.0
0,1,0,1,1,0,1,2,314.0
0,1,0,0,1,0,2,1,315.0
0,1,0,1,0,0,3,2,316.0
0,0,0,0,1,0,4,3,317.0
0,0,0,0,1,0,4,2,318.0
0,0,0,0,1,0,4,4,319.0
0,0,0,1,1,0,2,4,320.0
0,0,0,0,1,0,3,2,321.0
1,1,0,0,1,0,4,4,322.0
0,0,0,0,1,0,4,2,323.0
0,1,0,0,0,0,4,3,324.0
0,1,0,0,1,0,3,4,325.0
0,1,0,0,1,0,4,3,326.0
0,1,0,0,1,0,4,4,327.0
0,1,0,0,1,0,4,2,328.0
0,1,0,0,1,0,3,2,329.0
0,1,0,1,1,1,4,4,330.0
0,0,0,0,1,1,4,3,331.0
0,1,0,0,1,0,4,4,332.0
0,0,0,0,0,0,4,3,333.0
0,1,0,0,1,0,3,1,334.0
0,1,0,0,0,0,2,2,335.0
0,1,0,1,1,0,4,3,336.0
0,0,0,0,1,0,1,2,337.0
0,1,0,0,1,0,2,2,338.0
0,0,0,0,1,0,4,4,339.0
0,1,0,1,1,0,2,2,340.0
0,1,0,0,0,0,2,1,341.0
0,0,0,0,0,0,2,4,342.0
0,0,0,0,0,0,3,2,343.0
0,0,0,0,1,0,3,2,344.0
0,1,0,0,1,0,0,2,345.0
0,1,0,0,0,1,4,4,346.0
0,0,0,0,1,0,4,3,347.0
0,0,0,0,1,0,3,1,348.0
0,0,0,0,0,0,0,2,349.0
0,0,0,0,1,0,3,4,350.0
0,1,0,0,0,0,3,4,351.0
0,0,0,0,1,0,4,3,352.0
1,0,0,0,0,0,4,4,353.0
1,0,1,0,1,0,4,2,354.0
1,0,0,0,1,0,3,3,355.0
0,1,0,0,1,1,2,2,356.0
0,1,0,0,0,0,4,2,357.0
0,1,0,1,1,0,4,3,358.0
0,0,0,0,1,0,4,2,359.0
0,0,0,1,0,0,3,1,360.0
0,0,0,0,0,0,4,4,361.0
0,1,0,0,1,0,4,4,362.0
0,0,0,0,1,0,4,2,363.0
0,1,0,0,1,0,1,0,364.0
0,1,0,0,1,0,4,4,365.0
0,0,0,0,1,0,4,3,366.0
0,1,0,0,0,0,4,4,367.0
0,1,0,0,1,0,3,3,368.0
0,1,0,1,1,0,4,3,369.0
1,0,0,0,0,0,1,1,370.0
1,1,0,0,0,0,3,1,371.0
0,1,0,0,1,0,4,4,372.0
0,1,0,0,1,0,4,4,373.0
0,0,0,0,1,0,2,4,374.0
0,0,0,0,1,0,2,3,375.0
0,1,0,1,0,1,3,4,376.0
0,0,0,0,0,0,3,3,377.0
0,1,0,0,0,0,4,3,378.0
0,1,0,0,1,0,4,4,379.0
0,0,0,0,1,0,4,3,380.0
0,1,0,0,1,1,3,4,381.0
0,1,0,0,1,0,3,3,382.0
0,1,0,1,1,0,4,4,383.0
0,0,0,0,1,0,4,4,384.0
0,1,0,0,1,0,2,1,385.0
0,0,0,0,1,0,4,3,386.0
0,0,0,1,0,0,3,1,387.0
0,0,0,0,1,0,3,2,388.0
0,1,1,0,1,1,3,2,389.0
0,1,0,0,0,1,3,2,390.0
0,1,0,0,0,1,4,4,391.0
0,1,0,0,0,0,4,2,392.0
0,0,0,0,1,0,2,2,393.0
1,0,0,1,0,0,4,4,394.0
0,1,0,0,1,0,4,3,395.0
